file,study,word,fricative,shift_percent,fricative_voicing,fricative_place,fricative_sibilance,sound_preceeding,sound_following,cue_raw_maxpf,cue_raw_dur_f,cue_raw_dur_v,cue_raw_rms_f,cue_raw_rms_v,cue_raw_F3ampF,cue_raw_F3ampV,cue_raw_F5ampF,cue_raw_F5ampV,cue_raw_lowF,cue_raw_F0,cue_raw_F1,cue_raw_F2,cue_raw_F3,cue_raw_F4,cue_raw_F5,cue_raw_M1,cue_raw_M2,cue_raw_M3,cue_raw_M4,cue_raw_M1trans,cue_raw_M2trans, cue_raw_M3trans,cue_raw_M4trans,cue_raw_W1M1,cue_raw_W1M2,cue_raw_W1M3,cue_raw_W1M4, cue_raw_W2M1,cue_raw_W2M2,cue_raw_W2M3,cue_raw_W2M4, cue_raw_W3M1,cue_raw_W3M2,cue_raw_W3M3,cue_raw_W3M4, cue_raw_W4M1,cue_raw_W4M2,cue_raw_W4M3,cue_raw_W4M4
Drouin-et-al-2016_s-bias,Drouin-et-al-2016,Arkansas,s,50,voiceless,alveolar,sibilant,N/A,N/A,6653.759765625,95.29073768914054,284.06694741388617,0.019199693423991405,0.03253493638377266,22.424777433575244,8.419186903879773,3.640719539150583,-4.0697141505666785,8.623081061627389,80.52048628768927,652.5930057938672,1517.560874886193,2656.0380838557885,4737.2914572974805,5456.150010703197,4354.665568570235,2357.115701104146,0.38972643941875607,-0.43999005963020554,634.0897417227532,1000.4096716342608,5.3125715035222125,34.23009479625668,3986.6619482912056,2478.853400219204,0.581305763328334,-0.13570608758985614,4722.669188849265,2235.3780019890874,0.19814711550917824,-0.744274031670555,4649.490046188386,2281.396388076026,0.23128988033389677,-0.7211981298523882,634.0897417227532,1000.4096716342608,5.3125715035222125,34.23009479625668,
Drouin-et-al-2016_s-bias,Drouin-et-al-2016,coliseum,s,50,voiceless,alveolar,sibilant,N/A,N/A,3208.447265625,123.42526522999297,397.41676046917564,0.018430943746322676,0.06771443493975195,-0.9352504355499452,17.53089518099043,12.747457365002148,2.762282076296544,8.761369497458205,216.4188899726102,427.48748487806785,2283.0039493386016,2880.5018515709507,4389.737484582197,5370.815147859682,5006.660597855287,2615.896069031027,0.2908496984074308,-1.004241027173276,726.7434539249643,1092.3574364005185,3.596556677165635,16.260014185539973,4882.345573077803,2691.67562576018,0.07723693769948124,-0.8822583051942545,5130.97562263277,2540.116512301874,0.5044624591153803,-1.1262237491522973,4716.003395457188,2341.4379354370312,0.8780028848566852,-0.5622221722779548,726.7434539249643,1092.3574364005185,3.596556677165635,16.260014185539973,
Drouin-et-al-2016_s-bias,Drouin-et-al-2016,compensate,s,50,voiceless,alveolar,sibilant,N/A,N/A,3208.447265625,100.76484461896796,280.9986394557822,0.025835916133139045,0.0562686577293786,14.587576012788153,15.844934237987669,-0.1178278970917196,-7.354530083398039,18.503574316580863,151.63050578036405,516.6082225647434,2008.9804839249925,2838.531195918738,4990.849246914571,5004.153546908835,4373.407942914078,2439.7109775118765,0.4771153225020293,-0.5164011147152402,784.1567045739444,1325.9063084743634,4.084091708060752,19.314095098543014,3389.287956976009,2524.1491221320875,0.7150537793065301,0.0012659291083827462,5357.527928852149,2355.2728328916655,0.23917686569752847,-1.0340681585388631,4925.649240827207,2397.093722846683,0.4530794854393121,-0.7676664581100985,784.1567045739444,1325.9063084743634,4.084091708060752,19.314095098543014,
Drouin-et-al-2016_s-bias,Drouin-et-al-2016,democracy,s,50,voiceless,alveolar,sibilant,N/A,N/A,3639.111328125,117.54769666816634,297.04302291806073,0.015599029009842365,0.04699915820035263,23.569496531459077,19.73023482996132,19.071150847568127,5.0766592835996125,12.078307097959552,148.37581942693058,412.0210535886988,2241.534116846662,2829.086232900686,4789.941626684086,5418.853284326963,4458.4198984118375,2183.338272665246,0.44808146051333303,0.21369277934883923,464.36529768178764,732.6992532651562,6.641895321705793,53.66304245357904,4028.1388178964417,2119.426969340113,0.736079216123098,0.6863357395430545,4888.700978927234,2247.2495759903795,0.16008370490356802,-0.258950180845376,4524.2861053040215,2346.6232295346676,0.28433450724926657,-0.18879286987744104,464.36529768178764,732.6992532651562,6.641895321705793,53.66304245357904,
Drouin-et-al-2016_s-bias,Drouin-et-al-2016,dinosaur,s,50,voiceless,alveolar,sibilant,N/A,N/A,3100.78125,113.7917351275668,284.0510959939531,0.023797833415988824,0.05211572769475035,17.698074629907726,3.008191541690477,19.916690789203212,-9.594622082878946,13.649660201602106,162.41541819258296,475.9840769452463,1288.7494580600141,2512.3879830553665,3588.950141314443,4878.538933760281,3882.9245513452106,2004.1509780509282,0.7251797553861328,0.7886818288527297,496.40007139990234,610.8689160621204,7.750169918342833,80.53873916560633,3504.378938548305,2212.071806834036,0.47865635048759303,0.5421700125244144,4261.470164142116,1796.23014926782,0.9717031602846726,1.035193645181045,4213.4748052574105,1856.4159602426764,0.8213321309551256,0.9523929087073411,496.40007139990234,610.8689160621204,7.750169918342833,80.53873916560633,
Drouin-et-al-2016_s-bias,Drouin-et-al-2016,embassy,s,50,voiceless,alveolar,sibilant,N/A,N/A,3294.580078125,120.22474150922858,204.34475677063358,0.024412535026422516,0.047581997653311676,5.987066035062739,16.162411006978314,7.2261051734835045,-10.702110967485138,14.320444328093554,157.46315940954418,357.0144697006876,2308.001485958451,2884.45451090429,5151.201141126712,6048.694391794712,5177.542809391278,2656.648313269433,-0.13002860579417713,-1.087669402816744,427.01018718463683,797.1612778331173,8.464417357961683,78.01413432481193,5400.930460038098,2824.158973847704,-0.5361791922085754,-1.0764550933661539,4954.155158744457,2489.137652691162,0.2761219806202211,-1.0988837122673343,4862.131856986989,2578.529405217512,0.19461920034679211,-1.062443882859803,427.01018718463683,797.1612778331173,8.464417357961683,78.01413432481193,
Drouin-et-al-2016_s-bias,Drouin-et-al-2016,episode,s,50,voiceless,alveolar,sibilant,N/A,N/A,3057.71484375,117.5237590184972,269.02746283698775,0.020904840147943287,0.05533637340028324,18.974773090930196,10.101820135468282,7.1242875007213105,-6.836102472868001,13.72668460499333,159.96112768233314,514.7190847219485,1677.6234548265065,2764.1452983868985,4661.404150773536,6052.437046481198,3635.4408345238667,2026.8458937187768,0.7004492811174332,0.5641104414546174,680.1062329366135,1031.958320307569,4.322477914555856,22.68842344126148,3033.7525529152235,2244.364694202789,0.7094840700462154,0.6810624986973091,4237.12911613251,1809.3270932347646,0.691414492188651,0.4471583842119258,4212.286018516127,1751.9538756553632,0.7391373279214252,0.43304288670765256,680.1062329366135,1031.958320307569,4.322477914555856,22.68842344126148,
Drouin-et-al-2016_s-bias,Drouin-et-al-2016,eraser,s,50,voiceless,alveolar,sibilant,N/A,N/A,3208.447265625,112.44755137196982,169.70758846174226,0.015501171285577873,0.030580444585370656,12.49340302960729,1.5621744491886354,4.514153715246362,-9.431780380398349,11.076061074869612,153.42894158132623,467.10542613779756,1785.9590723517176,2555.172200147365,3772.227876881161,6157.101498167401,3651.5967108834675,1918.5260864101235,1.098515859476842,1.529312452934375,954.2893704147763,1644.4341656485553,2.9123695409885757,7.712384515771328,3350.176847792591,1970.9705293499867,0.7927152803276858,1.4693613197681534,3953.016573974344,1866.0816434702604,1.404316438625998,1.5892635861005964,4292.713216017597,2006.8113515266264,0.8006694444395309,-0.08206181868311546,954.2893704147763,1644.4341656485553,2.9123695409885757,7.712384515771328,
Drouin-et-al-2016_s-bias,Drouin-et-al-2016,hallucinate,s,50,voiceless,alveolar,sibilant,N/A,N/A,3423.779296875,116.45316787911585,375.5275755526384,0.02889422084025406,0.06452647165799315,17.160234771656903,12.036326320975054,26.222988727898723,-25.620075311955514,14.437425805795328,179.02814662421736,520.78973650412,1836.097022106945,2944.732645192279,4694.030168926615,6130.919506870024,4330.735301661617,1856.223746772861,1.453243461875502,2.215364380492443,466.8704430690876,815.9682006190839,6.9085905277455515,55.67096369061021,4622.794675023438,2226.177917772667,0.6772736803376841,-0.093022504642295,4038.6759282997964,1486.269575773055,2.22921324341332,4.523751265627181,4068.833110232606,1666.7822781263103,1.49542563274931,2.844860202309243,466.8704430690876,815.9682006190839,6.9085905277455515,55.67096369061021,
Drouin-et-al-2016_s-bias,Drouin-et-al-2016,legacy,s,50,voiceless,alveolar,sibilant,N/A,N/A,3337.646484375,121.27101374232919,246.28798185941213,0.04365746446366399,0.04432272684339418,18.673131351011836,15.133026460238842,12.49501771291736,6.817248301616794,15.128121653385065,153.63498028581884,384.18000183632813,2384.334980985592,2998.921512157714,4922.07494301235,5510.012603703102,3499.2317558722766,1181.9009733723149,3.1380315678046724,16.679133637526174,436.3023444433522,644.1061118168717,6.4909270005386785,54.063586108526664,3524.3206617567535,1495.2013970993057,1.5442099781717384,6.32605252273922,3474.1428499877998,868.6005496453241,4.731853157437606,27.032214752313127,3459.8548132674864,955.8387519253828,3.6229464144684895,20.93572193165613,436.3023444433522,644.1061118168717,6.4909270005386785,54.063586108526664,
