workerid,proliferate.condition,audio_type,error
182,10,over-ear,
318,10,in-ear,
362,5,over-ear,
240,5,in-ear,
288,5,in-ear,
272,5,over-ear,
312,5,over-ear,
209,5,over-ear,
232,5,in-ear,
264,5,over-ear,
178,5,over-ear,
342,5,over-ear,
256,5,over-ear,
201,5,over-ear,
225,5,over-ear,
304,5,over-ear,
360,5,in-ear,
217,8,in-ear,
303,8,in-ear,
255,8,in-ear,
263,8,in-ear,
331,8,in-ear,
247,8,over-ear,
200,8,over-ear,
271,8,over-ear,
224,8,over-ear,
177,8,over-ear,
353,8,in-ear,
358,8,over-ear,
208,8,over-ear,
239,8,over-ear,
308,4,in-ear,
284,4,over-ear,
300,4,over-ear,
345,4,over-ear,
205,4,in-ear,
188,4,over-ear,
268,4,over-ear,
214,4,external,
252,4,over-ear,
338,4,in-ear,
276,4,in-ear,
229,4,in-ear,
221,4,over-ear,
316,4,in-ear,
307,3,over-ear,
275,3,over-ear,
259,3,in-ear,
196,3,computer speakers,
346,3,over-ear,
251,3,over-ear,
220,3,over-ear,
228,3,over-ear,
235,3,over-ear,
299,3,in-ear,
243,3,in-ear,
204,3,over-ear,
315,3,in-ear,
267,3,over-ear,
283,3,over-ear,
291,3,in-ear,
213,3,in-ear,
250,2,over-ear,
227,2,in-ear,
314,2,over-ear,
282,2,over-ear,
290,2,over-ear,
203,2,in-ear,
347,2,in-ear,
298,2,in-ear,
274,2,in-ear,
193,2,over-ear,
306,2,in-ear,
266,2,over-ear,
344,2,over-ear,
212,2,over-ear,
199,1,over-ear,
206,1,over-ear,
285,1,over-ear,
293,1,over-ear,
230,1,over-ear,
215,1,in-ear,
269,1,over-ear,
245,1,over-ear,
309,1,in-ear,
237,1,in-ear,
317,1,in-ear,
301,1,in-ear,
222,1,over-ear,
334,1,in-ear,
351,1,over-ear,
185,11,in-ear,
325,16,in-ear,
183,16,over-ear,
328,16,in-ear,
322,14,over-ear,
187,14,in-ear,
330,14,over-ear,
180,15,over-ear,
320,15,over-ear,
192,15,over-ear,
176,9,over-ear,
321,9,over-ear,
197,12,over-ear,
324,12,over-ear,
329,12,over-ear,
184,12,over-ear,
273,6,over-ear,
305,6,in-ear,
297,6,in-ear,
281,6,in-ear,
289,6,in-ear,
354,6,over-ear,
195,6,in-ear,
265,6,over-ear,
313,6,in-ear,
219,6,in-ear,
361,6,in-ear,
359,6,over-ear,
343,6,over-ear,
233,6,in-ear,
223,7,over-ear,
335,7,in-ear,
207,7,in-ear,
190,7,over-ear,
310,7,in-ear,
278,7,over-ear,
286,7,over-ear,
179,7,over-ear,
231,7,in-ear,
246,7,over-ear,
254,7,over-ear,
294,7,in-ear,
302,7,in-ear,
262,7,over-ear,
341,7,in-ear,
