workerid,proliferate.condition,comments,error
182,10,,
318,10,I forgot to mention the woman was also chewing on a pen while she was talking.  My father smoked a pipe occasionally but I don't really consider him a smoker.  My partner currently smokes a few days a week but always goes outside.,
362,5,,
240,5,,
288,5,,
272,5,I never noticed any white dots in the second portion and I'm not sure if I missed some because I was so distracted trying to hear the differences between the words that she was saying.,
312,5,Thank you,
209,5,Thank you!,
232,5,,
264,5,,
178,5,,
342,5,The study was a little long for the payment maybe the payment could  be higher but thanks for the opportunity ,
256,5,,
201,5,,
225,5,"Great, straightforward survey",
304,5,,
360,5,I didn't see any dots in the phase 2? I'm not sure how I could miss them?? Also in the first phase I accidentally selected that Inhibit isn't a word. Thanks for letting me participate.,
217,8,none,
303,8,,
255,8,thank you for the study,
263,8,"It took me a while to hear the difference in the two pronunciations, but hopefully you can still use the data.  Also, there was a video that played and I did not hear any sound.  I thought it was my volume level, but they seemed to work fine on all other clips so no adjustment was needed.  Lastly, there were a couple of times that I found myself hearing the speaker better by closing my eyes.  I am guessing that the video did not match the audio clip as indicated before.  I am concerned that I might have missed the white dots while my eyes were closed for those few seconds before I realized my error.  Hopefully this does not affect your study. Thanks",
331,8,Yes I did answer truthfully. Thank you. ,
247,8,Fun task!,
200,8,none,
271,8,,
224,8,,
177,8,"This was interesting, thank you for allowing me to participate!",
353,8,There weren't any white dots in the second phase that I noticed.,
358,8,great study!,
208,8,I am curious is I should have heard asi more instead of ashi. I honestly had a hard time hearing asi. It was mostly ashi.,
239,8,,
308,4,,
284,4,None,
300,4,I am interested in knowing why the questions about interacting with people that smoke cigarettes. ,
345,4,S and SH was very challenging it was difficult to even distinguish which was different since they sounded so similar ,
205,4,,
188,4,,
268,4,,
214,4,,
252,4,I smoked for 40 years and I have not smoked in over 2 years now. I do not  know if that matters,
338,4,,
276,4,,
229,4,,
221,4,,
316,4,"A couple things. That white dot I feel should be slightly bigger, or just stick around for a slightly longer amount of time. I actually had no idea where it would show up, etc., until the practice - and I was never really sure if it would be in the same place every time. The only other issue I thought may be relevant is the idea of telling us that we have to answer quickly, but then sort of ""restricting"" this to where we had to wait for the black/white text to show up telling us that we needed to press the key. There were a bunch of times I tried to answer immediately after hearing the word - because I knew the answer immediately - only to be hit with the pop-up window telling me to wait until the video was over. This subsequently made my ""reaction time"" SLOWER, because I was either worried about getting the prompt again, or just making sure I was seeing the black box completely so that I WOULDN'T get the prompt again. This sort of felt inauthentic to my actual response time, because I felt like I was having to wait for the VIDEO to be over, when it felt like I should have been able to answer when the AUDIO was over.",
307,3,Have a great day!,
275,3,,
259,3,,
196,3,,
346,3,,
251,3,,
220,3,N/A,
228,3,,
235,3,thanks,
299,3,,
243,3,,
204,3,On the second one it was hard to tell the difference. And also I didn't notice the white dot on the second one.,
315,3,,
267,3,Interesting study. Everything worked great. Thank you and good luck!,
283,3,,
291,3,none,
213,3,,
