workerid,proliferate.condition,experiment_id,error
182,10,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
318,10,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
362,5,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
240,5,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
288,5,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
272,5,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
312,5,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
209,5,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
232,5,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
264,5,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
178,5,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
342,5,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
256,5,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
201,5,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
225,5,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
304,5,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
360,5,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
217,8,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
303,8,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
255,8,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
263,8,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
331,8,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
247,8,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
200,8,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
271,8,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
224,8,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
177,8,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
353,8,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
358,8,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
208,8,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
239,8,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
308,4,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
284,4,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
300,4,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
345,4,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
205,4,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
188,4,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
268,4,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
214,4,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
252,4,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
338,4,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
276,4,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
229,4,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
221,4,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
316,4,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
307,3,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
275,3,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
259,3,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
196,3,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
346,3,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
251,3,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
220,3,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
228,3,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
235,3,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
299,3,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
243,3,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
204,3,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
315,3,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
267,3,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
283,3,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
291,3,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
213,3,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
250,2,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
227,2,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
314,2,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
282,2,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
290,2,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
203,2,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
347,2,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
298,2,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
274,2,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
193,2,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
306,2,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
266,2,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
344,2,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
212,2,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
199,1,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
206,1,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
285,1,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
293,1,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
230,1,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
215,1,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
269,1,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
245,1,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
309,1,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
237,1,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
317,1,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
301,1,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
222,1,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
334,1,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
351,1,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
185,11,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
325,16,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
183,16,5e8bffd5-4fe8-4043-ae8b-accb027f0ee3,
