workerid,proliferate.condition,label,error
182,10,S,
318,10,S,
362,5,SH,
240,5,SH,
288,5,SH,
272,5,SH,
312,5,SH,
209,5,SH,
232,5,SH,
264,5,SH,
178,5,SH,
342,5,SH,
256,5,SH,
201,5,SH,
225,5,SH,
304,5,SH,
360,5,SH,
217,8,SH,
303,8,SH,
255,8,SH,
263,8,SH,
331,8,SH,
247,8,SH,
200,8,SH,
271,8,SH,
224,8,SH,
177,8,SH,
353,8,SH,
358,8,SH,
208,8,SH,
239,8,SH,
308,4,S,
284,4,S,
300,4,S,
345,4,S,
205,4,S,
188,4,S,
268,4,S,
214,4,S,
252,4,S,
338,4,S,
276,4,S,
229,4,S,
221,4,S,
316,4,S,
307,3,S,
275,3,S,
259,3,S,
196,3,S,
346,3,S,
251,3,S,
220,3,S,
228,3,S,
235,3,S,
299,3,S,
243,3,S,
204,3,S,
315,3,S,
267,3,S,
283,3,S,
291,3,S,
213,3,S,
250,2,S,
227,2,S,
314,2,S,
282,2,S,
290,2,S,
203,2,S,
347,2,S,
298,2,S,
274,2,S,
193,2,S,
306,2,S,
266,2,S,
344,2,S,
212,2,S,
199,1,S,
206,1,S,
285,1,S,
293,1,S,
230,1,S,
215,1,S,
269,1,S,
245,1,S,
309,1,S,
237,1,S,
317,1,S,
301,1,S,
222,1,S,
334,1,S,
351,1,S,
185,11,S,
325,16,SH,
183,16,SH,
328,16,SH,
322,14,SH,
187,14,SH,
330,14,SH,
180,15,SH,
320,15,SH,
192,15,SH,
176,9,S,
321,9,S,
197,12,S,
324,12,S,
329,12,S,
184,12,S,
273,6,SH,
305,6,SH,
297,6,SH,
281,6,SH,
289,6,SH,
354,6,SH,
195,6,SH,
265,6,SH,
313,6,SH,
219,6,SH,
361,6,SH,
359,6,SH,
343,6,SH,
233,6,SH,
223,7,SH,
335,7,SH,
207,7,SH,
190,7,SH,
310,7,SH,
278,7,SH,
286,7,SH,
179,7,SH,
231,7,SH,
246,7,SH,
254,7,SH,
294,7,SH,
302,7,SH,
262,7,SH,
341,7,SH,
