workerid,proliferate.condition,practEnforcePerfection,error
182,10,F,
318,10,F,
362,5,F,
240,5,F,
288,5,F,
272,5,F,
312,5,F,
209,5,F,
232,5,F,
264,5,F,
178,5,F,
342,5,F,
256,5,F,
201,5,F,
225,5,F,
304,5,F,
360,5,F,
217,8,F,
303,8,F,
255,8,F,
263,8,F,
331,8,F,
247,8,F,
200,8,F,
271,8,F,
224,8,F,
177,8,F,
353,8,F,
358,8,F,
208,8,F,
239,8,F,
308,4,F,
284,4,F,
300,4,F,
345,4,F,
205,4,F,
188,4,F,
268,4,F,
214,4,F,
252,4,F,
338,4,F,
276,4,F,
229,4,F,
221,4,F,
316,4,F,
307,3,F,
275,3,F,
259,3,F,
196,3,F,
346,3,F,
251,3,F,
220,3,F,
228,3,F,
235,3,F,
299,3,F,
243,3,F,
204,3,F,
315,3,F,
267,3,F,
283,3,F,
291,3,F,
213,3,F,
250,2,F,
227,2,F,
314,2,F,
282,2,F,
290,2,F,
203,2,F,
347,2,F,
298,2,F,
274,2,F,
193,2,F,
306,2,F,
266,2,F,
344,2,F,
212,2,F,
199,1,F,
206,1,F,
285,1,F,
293,1,F,
230,1,F,
215,1,F,
269,1,F,
245,1,F,
309,1,F,
237,1,F,
317,1,F,
301,1,F,
222,1,F,
334,1,F,
351,1,F,
185,11,F,
325,16,F,
183,16,F,
328,16,F,
322,14,F,
187,14,F,
330,14,F,
180,15,F,
320,15,F,
192,15,F,
176,9,F,
321,9,F,
197,12,F,
324,12,F,
329,12,F,
184,12,F,
273,6,F,
305,6,F,
297,6,F,
281,6,F,
289,6,F,
354,6,F,
195,6,F,
265,6,F,
313,6,F,
219,6,F,
361,6,F,
359,6,F,
343,6,F,
233,6,F,
223,7,F,
335,7,F,
207,7,F,
190,7,F,
310,7,F,
278,7,F,
286,7,F,
179,7,F,
231,7,F,
246,7,F,
254,7,F,
294,7,F,
302,7,F,
262,7,F,
341,7,F,
