workerid,proliferate.condition,practFeedback,error
182,10,T,
318,10,T,
362,5,T,
240,5,T,
288,5,T,
272,5,T,
312,5,T,
209,5,T,
232,5,T,
264,5,T,
178,5,T,
342,5,T,
256,5,T,
201,5,T,
225,5,T,
304,5,T,
360,5,T,
217,8,T,
303,8,T,
255,8,T,
263,8,T,
331,8,T,
247,8,T,
200,8,T,
271,8,T,
224,8,T,
177,8,T,
353,8,T,
358,8,T,
208,8,T,
239,8,T,
308,4,T,
284,4,T,
300,4,T,
345,4,T,
205,4,T,
188,4,T,
268,4,T,
214,4,T,
252,4,T,
338,4,T,
276,4,T,
229,4,T,
221,4,T,
316,4,T,
307,3,T,
275,3,T,
259,3,T,
196,3,T,
346,3,T,
251,3,T,
220,3,T,
228,3,T,
235,3,T,
299,3,T,
243,3,T,
204,3,T,
315,3,T,
267,3,T,
283,3,T,
291,3,T,
213,3,T,
250,2,T,
227,2,T,
314,2,T,
282,2,T,
290,2,T,
203,2,T,
347,2,T,
298,2,T,
274,2,T,
193,2,T,
306,2,T,
266,2,T,
344,2,T,
212,2,T,
199,1,T,
206,1,T,
285,1,T,
293,1,T,
230,1,T,
215,1,T,
269,1,T,
245,1,T,
309,1,T,
237,1,T,
317,1,T,
301,1,T,
222,1,T,
334,1,T,
351,1,T,
185,11,T,
325,16,T,
183,16,T,
328,16,T,
322,14,T,
187,14,T,
330,14,T,
180,15,T,
320,15,T,
192,15,T,
176,9,T,
321,9,T,
197,12,T,
324,12,T,
329,12,T,
184,12,T,
273,6,T,
305,6,T,
297,6,T,
281,6,T,
289,6,T,
354,6,T,
195,6,T,
265,6,T,
313,6,T,
219,6,T,
361,6,T,
359,6,T,
343,6,T,
233,6,T,
223,7,T,
335,7,T,
207,7,T,
190,7,T,
310,7,T,
278,7,T,
286,7,T,
179,7,T,
231,7,T,
246,7,T,
254,7,T,
294,7,T,
302,7,T,
262,7,T,
341,7,T,
