workerid,proliferate.condition,practiceResp,error
182,10,"practice,0,0,F40H.webm,88,word,1657217148111,1657217172065,23954,false,false;practice,1,3,F2H-CATCH.webm,66,,1657217180513,1657217184039,3526,true,true;practice,2,1,FN86H-CATCH.webm,66,,1657217189150,1657217192260,3110,true,true;practice,3,4,F4M.webm,88,word,1657217197481,1657217201693,4212,false,false;practice,4,2,FN6M.webm,66,,1657217213921,1657217217017,3096,false,true;practice,5,5,FN1H.webm,88,word,1657217232764,1657217236524,3760,false,false;",
318,10,"practice,0,4,F4M.webm,88,word,1659021644077,1659021649800,5723,false,false;practice,1,1,FN86H-CATCH.webm,66,,1659021653278,1659021656909,3631,true,true;practice,2,5,FN1H.webm,77,non-word,1659021660585,1659021664304,3719,false,false;practice,3,3,F2H-CATCH.webm,66,,1659021667257,1659021670612,3355,true,true;practice,4,2,FN6M.webm,77,non-word,1659021672918,1659021676434,3516,false,false;practice,5,0,F40H.webm,88,word,1659021678876,1659021684012,5136,false,false;",
362,5,"practice,0,0,F40H.webm,88,word,1659028261145,1659028268442,7297,false,false;practice,1,5,FN1H.webm,77,non-word,1659028277181,1659028280036,2855,false,false;practice,2,4,F4M.webm,88,word,1659028285003,1659028288932,3929,false,false;practice,3,1,FN86H-CATCH.webm,88,word,1659028291646,1659028297027,5381,true,false;practice,4,3,F2H-CATCH.webm,88,word,1659028303633,1659028306065,2432,true,false;practice,5,2,FN6M.webm,77,non-word,1659028318446,1659028321945,3499,false,false;",
240,5,"practice,0,4,F4M.webm,66,,1659021778764,1659021781547,2783,false,true;practice,1,1,FN86H-CATCH.webm,77,non-word,1659021792288,1659021796349,4061,true,false;practice,2,2,FN6M.webm,77,non-word,1659021807460,1659021810945,3485,false,false;practice,3,5,FN1H.webm,77,non-word,1659021816867,1659021819737,2870,false,false;practice,4,0,F40H.webm,66,,1659021823384,1659021826169,2785,false,true;practice,5,3,F2H-CATCH.webm,66,,1659021830136,1659021832482,2346,true,true;",
288,5,"practice,0,5,FN1H.webm,77,non-word,1659021459002,1659021464666,5664,false,false;practice,1,0,F40H.webm,88,word,1659021471754,1659021488518,16764,false,false;practice,2,1,FN86H-CATCH.webm,88,word,1659021491763,1659021497841,6078,true,false;practice,3,3,F2H-CATCH.webm,66,,1659021510625,1659021513072,2447,true,true;practice,4,2,FN6M.webm,77,non-word,1659021516140,1659021519843,3703,false,false;practice,5,4,F4M.webm,88,word,1659021522743,1659021525479,2736,false,false;",
272,5,"practice,0,0,F40H.webm,88,word,1659021448728,1659021451174,2446,false,false;practice,1,4,F4M.webm,88,word,1659021456115,1659021459058,2943,false,false;practice,2,3,F2H-CATCH.webm,88,word,1659021462214,1659021464855,2641,true,false;practice,3,1,FN86H-CATCH.webm,66,,1659021477985,1659021480507,2522,true,true;practice,4,2,FN6M.webm,77,non-word,1659021483442,1659021487010,3568,false,false;practice,5,5,FN1H.webm,77,non-word,1659021489961,1659021492690,2729,false,false;",
312,5,"practice,0,0,F40H.webm,88,word,1659021708361,1659021712244,3883,false,false;practice,1,4,F4M.webm,88,word,1659021718665,1659021723386,4721,false,false;practice,2,3,F2H-CATCH.webm,66,,1659021726848,1659021730469,3621,true,true;practice,3,2,FN6M.webm,77,non-word,1659021739042,1659021743262,4220,false,false;practice,4,1,FN86H-CATCH.webm,77,non-word,1659021745743,1659021748572,2829,true,false;practice,5,5,FN1H.webm,77,non-word,1659021762216,1659021764748,2532,false,false;",
209,5,"practice,0,1,FN86H-CATCH.webm,77,non-word,1659021658126,1659021665641,7515,true,false;practice,1,2,FN6M.webm,88,word,1659021690215,1659021696224,6009,false,false;practice,2,5,FN1H.webm,77,non-word,1659021705062,1659021710104,5042,false,false;practice,3,0,F40H.webm,77,non-word,1659021717415,1659021719736,2321,false,false;practice,4,4,F4M.webm,88,word,1659021736460,1659021739351,2891,false,false;practice,5,3,F2H-CATCH.webm,66,,1659021741821,1659021744415,2594,true,true;",
232,5,"practice,0,1,FN86H-CATCH.webm,77,non-word,1659021689204,1659021692609,3405,true,false;practice,1,0,F40H.webm,88,word,1659021703584,1659021707369,3785,false,false;practice,2,4,F4M.webm,88,word,1659021710178,1659021712556,2378,false,false;practice,3,5,FN1H.webm,77,non-word,1659021714914,1659021718058,3144,false,false;practice,4,2,FN6M.webm,77,non-word,1659021720332,1659021723262,2930,false,false;practice,5,3,F2H-CATCH.webm,66,,1659021725581,1659021728442,2861,true,true;",
264,5,"practice,0,1,FN86H-CATCH.webm,77,non-word,1659021410619,1659021419408,8789,true,false;practice,1,0,F40H.webm,88,word,1659021428072,1659021432253,4181,false,false;practice,2,4,F4M.webm,88,word,1659021435561,1659021438308,2747,false,false;practice,3,5,FN1H.webm,77,non-word,1659021440948,1659021444921,3973,false,false;practice,4,2,FN6M.webm,77,non-word,1659021447536,1659021451107,3571,false,false;practice,5,3,F2H-CATCH.webm,66,,1659021453721,1659021456123,2402,true,true;",
