workerid,proliferate.condition,randomID,error
182,10,TfgbsHWc4MG1EXRi,
318,10,9dZ2ikChyhijBx3b,
362,5,I3bKjDKYB3X6meLd,
240,5,0APtrlVep4Q4lGLR,
288,5,QDC7zibOVQoSaLdp,
272,5,tvGKeCzbPc0x88Xj,
312,5,JXxyNra9loKyyWlf,
209,5,ZvJgRk62YtZ46yEb,
232,5,vgaRqI3xBtFdXYUJ,
264,5,Me1ixxeoiQU0Ofpt,
178,5,EyR9r2hWlIX8rHht,
342,5,zh0iH0lCeCJBthF2,
256,5,sS9DSPvOMZXhPNMa,
201,5,1xdBVtRX5PxWxWV8,
225,5,qn1nXAQqV3nQRtJs,
304,5,QuIot60A6rAzWsdN,
360,5,8wDTjwgbOV5pNFl4,
217,8,qZQZuLenjK7vNkNP,
303,8,1kcDKNEIQfB65JEk,
255,8,gsufIlkqsBSC0mnX,
263,8,I3ZDzId8RDLN76ne,
331,8,PfYT4TbLYPrQvw1S,
247,8,iQvFo9coxtnAXD8M,
200,8,xlcC3KSd4WrHvXCV,
271,8,imkWMa28ipbX4nSD,
224,8,DKKQMffxfajXInIZ,
177,8,k3N9lZpiwkl9l7bH,
353,8,Dq5kIsixiq7bGVGf,
358,8,2oNwgb6SSLZyfkUf,
208,8,5Vw1B1X4QMQ9lR6k,
239,8,hfhukaWKPuNkT4jw,
308,4,w83mHHs04TQvewfF,
284,4,IpevOaGHbQ6B6oK5,
300,4,i5SvDzvjDKvHof0y,
345,4,PAfzZnjKbNQSMDfa,
205,4,nSJ0pepyhkr6ZKi7,
188,4,T6EMeCEgRYl2tyCS,
268,4,mJMmPtbmBJCfhbTV,
214,4,FNYfzmNomOvtVuDK,
252,4,k9anxKVOAwxxCESJ,
338,4,YC0CqAPz0D2uLb6a,
276,4,AnIOw7N1RsZ8c2oW,
229,4,cCqadizFtfJ00oMC,
221,4,jwIInKH9Ak5rlotF,
316,4,w8Bcx6gySzFtrexS,
307,3,hnpeGSJ9RozBlKcq,
275,3,w1NtyYaTM8XCoCkj,
259,3,moEslEgukL65oduI,
196,3,BdgkprbwLdGmetEh,
346,3,TNtFZRWh19jOfnUn,
251,3,X1doYXSYOSNrIcMt,
220,3,E5k3dYuYvY1YkIJy,
228,3,EvL5ADV8hts0U0wG,
235,3,dGfdjAEiJRifPZMU,
299,3,pxk6ATcA8NbP49pI,
243,3,1CuEg8g0l47gYHa7,
204,3,69aATNSu4bBkfUNz,
315,3,XVfkcxmIFHSZKMrp,
267,3,lj91x6LdMHHNTlvP,
283,3,XUO3hmtEP5Or9G7H,
291,3,AnmU0o2spBFo4dEF,
213,3,Fe6fKHJFdnchVi7j,
250,2,WayjteWuaMsaE68V,
227,2,Qt9yxlvxJT3veCmb,
314,2,33zI7xZqfUUB9U9S,
282,2,ApsiLI2SN87tzZVq,
290,2,SVNmQHFL0QWMr4xF,
203,2,kJTAMgWOnlV72jKP,
347,2,60Ym2xzDAeUlwj4t,
298,2,cEToUYS9HpMeLSFX,
274,2,caJJl6gVREAtj63R,
193,2,haJlQWG3K84rtPIy,
306,2,kPuuE87hbT4iLFe6,
266,2,EeDLv9V8UxXVsoq1,
