workerid,proliferate.condition,respKeyExp,error
182,10,0,
318,10,0,
362,5,0,
240,5,0,
288,5,0,
272,5,0,
312,5,0,
209,5,0,
232,5,0,
264,5,0,
178,5,0,
342,5,0,
256,5,0,
201,5,0,
225,5,0,
304,5,0,
360,5,0,
217,8,1,
303,8,1,
255,8,1,
263,8,1,
331,8,1,
247,8,1,
200,8,1,
271,8,1,
224,8,1,
177,8,1,
353,8,1,
358,8,1,
208,8,1,
239,8,1,
308,4,1,
284,4,1,
300,4,1,
345,4,1,
205,4,1,
188,4,1,
268,4,1,
214,4,1,
252,4,1,
338,4,1,
276,4,1,
229,4,1,
221,4,1,
316,4,1,
307,3,1,
275,3,1,
259,3,1,
196,3,1,
346,3,1,
251,3,1,
220,3,1,
228,3,1,
235,3,1,
299,3,1,
243,3,1,
204,3,1,
315,3,1,
267,3,1,
283,3,1,
291,3,1,
213,3,1,
250,2,0,
227,2,0,
314,2,0,
282,2,0,
290,2,0,
203,2,0,
347,2,0,
298,2,0,
274,2,0,
193,2,0,
306,2,0,
266,2,0,
344,2,0,
212,2,0,
199,1,0,
206,1,0,
285,1,0,
293,1,0,
230,1,0,
215,1,0,
269,1,0,
245,1,0,
309,1,0,
237,1,0,
317,1,0,
301,1,0,
222,1,0,
334,1,0,
351,1,0,
185,11,1,
325,16,1,
183,16,1,
328,16,1,
322,14,0,
187,14,0,
330,14,0,
180,15,1,
320,15,1,
192,15,1,
176,9,0,
321,9,0,
197,12,1,
324,12,1,
329,12,1,
184,12,1,
273,6,0,
305,6,0,
297,6,0,
281,6,0,
289,6,0,
354,6,0,
195,6,0,
265,6,0,
313,6,0,
219,6,0,
361,6,0,
359,6,0,
343,6,0,
233,6,0,
223,7,1,
335,7,1,
207,7,1,
190,7,1,
310,7,1,
278,7,1,
286,7,1,
179,7,1,
231,7,1,
246,7,1,
254,7,1,
294,7,1,
302,7,1,
262,7,1,
341,7,1,
