workerid,proliferate.condition,rsrb.age,error
182,10,29,
318,10,60,
362,5,55,
240,5,47,
288,5,47,
272,5,36,
312,5,62,
209,5,50,
232,5,25,
264,5,53,
178,5,28,
342,5,,
256,5,41,
201,5,62,
225,5,27,
304,5,33,
360,5,29,
217,8,54,
303,8,32,
255,8,46,
263,8,42,
331,8,64,
247,8,37,
200,8,61,
271,8,64,
224,8,33,
177,8,23,
353,8,45,
358,8,,
208,8,52,
239,8,30,
308,4,37,
284,4,51,
300,4,49,
345,4,37,
205,4,33,
188,4,44,
268,4,38,
214,4,21,
252,4,54,
338,4,29,
276,4,43,
229,4,54,
221,4,40,
316,4,38,
307,3,57,
275,3,34,
259,3,30,
196,3,49,
346,3,30,
251,3,37,
220,3,46,
228,3,33,
235,3,35,
299,3,37,
243,3,23,
204,3,39,
315,3,32,
267,3,47,
283,3,26,
291,3,54,
213,3,24,
250,2,35,
227,2,52,
314,2,22,
282,2,30,
290,2,59,
203,2,44,
347,2,30,
298,2,38,
274,2,39,
193,2,56,
306,2,31,
266,2,61,
344,2,38,
212,2,47,
199,1,35,
206,1,35,
285,1,47,
293,1,38,
230,1,21,
215,1,27,
269,1,73,
245,1,60,
309,1,44,
237,1,50,
317,1,27,
301,1,21,
222,1,44,
334,1,49,
351,1,30,
185,11,40,
325,16,36,
183,16,34,
328,16,53,
322,14,48,
187,14,26,
330,14,47,
180,15,40,
320,15,50,
192,15,65,
176,9,33,
321,9,36,
197,12,21,
324,12,59,
329,12,28,
184,12,49,
273,6,53,
305,6,20,
297,6,30,
281,6,18,
289,6,48,
354,6,33,
195,6,49,
265,6,21,
313,6,41,
219,6,23,
361,6,30,
359,6,29,
343,6,22,
233,6,36,
223,7,40,
335,7,26,
207,7,29,
190,7,42,
310,7,55,
278,7,33,
286,7,65,
179,7,38,
231,7,29,
246,7,62,
254,7,64,
294,7,67,
302,7,22,
262,7,49,
341,7,22,
