workerid,proliferate.condition,rsrb.protocol,error
182,10,RSRB00045955,
318,10,RSRB00045955,
362,5,RSRB00045955,
240,5,RSRB00045955,
288,5,RSRB00045955,
272,5,RSRB00045955,
312,5,RSRB00045955,
209,5,RSRB00045955,
232,5,RSRB00045955,
264,5,RSRB00045955,
178,5,RSRB00045955,
342,5,RSRB00045955,
256,5,RSRB00045955,
201,5,RSRB00045955,
225,5,RSRB00045955,
304,5,RSRB00045955,
360,5,RSRB00045955,
217,8,RSRB00045955,
303,8,RSRB00045955,
255,8,RSRB00045955,
263,8,RSRB00045955,
331,8,RSRB00045955,
247,8,RSRB00045955,
200,8,RSRB00045955,
271,8,RSRB00045955,
224,8,RSRB00045955,
177,8,RSRB00045955,
353,8,RSRB00045955,
358,8,RSRB00045955,
208,8,RSRB00045955,
239,8,RSRB00045955,
308,4,RSRB00045955,
284,4,RSRB00045955,
300,4,RSRB00045955,
345,4,RSRB00045955,
205,4,RSRB00045955,
188,4,RSRB00045955,
268,4,RSRB00045955,
214,4,RSRB00045955,
252,4,RSRB00045955,
338,4,RSRB00045955,
276,4,RSRB00045955,
229,4,RSRB00045955,
221,4,RSRB00045955,
316,4,RSRB00045955,
307,3,RSRB00045955,
275,3,RSRB00045955,
259,3,RSRB00045955,
196,3,RSRB00045955,
346,3,RSRB00045955,
251,3,RSRB00045955,
220,3,RSRB00045955,
228,3,RSRB00045955,
235,3,RSRB00045955,
299,3,RSRB00045955,
243,3,RSRB00045955,
204,3,RSRB00045955,
315,3,RSRB00045955,
267,3,RSRB00045955,
283,3,RSRB00045955,
291,3,RSRB00045955,
213,3,RSRB00045955,
250,2,RSRB00045955,
227,2,RSRB00045955,
314,2,RSRB00045955,
282,2,RSRB00045955,
290,2,RSRB00045955,
203,2,RSRB00045955,
347,2,RSRB00045955,
298,2,RSRB00045955,
274,2,RSRB00045955,
193,2,RSRB00045955,
306,2,RSRB00045955,
266,2,RSRB00045955,
344,2,RSRB00045955,
212,2,RSRB00045955,
199,1,RSRB00045955,
206,1,RSRB00045955,
285,1,RSRB00045955,
293,1,RSRB00045955,
230,1,RSRB00045955,
215,1,RSRB00045955,
269,1,RSRB00045955,
245,1,RSRB00045955,
309,1,RSRB00045955,
237,1,RSRB00045955,
317,1,RSRB00045955,
301,1,RSRB00045955,
222,1,RSRB00045955,
334,1,RSRB00045955,
351,1,RSRB00045955,
185,11,RSRB00045955,
325,16,RSRB00045955,
183,16,RSRB00045955,
328,16,RSRB00045955,
322,14,RSRB00045955,
187,14,RSRB00045955,
330,14,RSRB00045955,
180,15,RSRB00045955,
320,15,RSRB00045955,
192,15,RSRB00045955,
176,9,RSRB00045955,
321,9,RSRB00045955,
197,12,RSRB00045955,
324,12,RSRB00045955,
329,12,RSRB00045955,
184,12,RSRB00045955,
273,6,RSRB00045955,
305,6,RSRB00045955,
297,6,RSRB00045955,
281,6,RSRB00045955,
289,6,RSRB00045955,
354,6,RSRB00045955,
195,6,RSRB00045955,
265,6,RSRB00045955,
313,6,RSRB00045955,
219,6,RSRB00045955,
361,6,RSRB00045955,
359,6,RSRB00045955,
343,6,RSRB00045955,
233,6,RSRB00045955,
223,7,RSRB00045955,
335,7,RSRB00045955,
207,7,RSRB00045955,
190,7,RSRB00045955,
310,7,RSRB00045955,
278,7,RSRB00045955,
286,7,RSRB00045955,
179,7,RSRB00045955,
231,7,RSRB00045955,
246,7,RSRB00045955,
254,7,RSRB00045955,
294,7,RSRB00045955,
302,7,RSRB00045955,
262,7,RSRB00045955,
341,7,RSRB00045955,
