workerid,proliferate.condition,rsrb.sex,error
182,10,Male,
318,10,Male,
362,5,Male,
240,5,Female,
288,5,Male,
272,5,Female,
312,5,Male,
209,5,Female,
232,5,Female,
264,5,Male,
178,5,Male,
342,5,NA,
256,5,Female,
201,5,Female,
225,5,Male,
304,5,Female,
360,5,Male,
217,8,Female,
303,8,Male,
255,8,Male,
263,8,Male,
331,8,Female,
247,8,Female,
200,8,Female,
271,8,Male,
224,8,Female,
177,8,Female,
353,8,Male,
358,8,Male,
208,8,Female,
239,8,Male,
308,4,Male,
284,4,Male,
300,4,Male,
345,4,Female,
205,4,Female,
188,4,Female,
268,4,Male,
214,4,Female,
252,4,Female,
338,4,Male,
276,4,Female,
229,4,Female,
221,4,Female,
316,4,Male,
307,3,Male,
275,3,Male,
259,3,Male,
196,3,Female,
346,3,Male,
251,3,Female,
220,3,Female,
228,3,Male,
235,3,Male,
299,3,Female,
243,3,Female,
204,3,Female,
315,3,Male,
267,3,Male,
283,3,Male,
291,3,Female,
213,3,Female,
250,2,Female,
227,2,Female,
314,2,Female,
282,2,Male,
290,2,Male,
203,2,Female,
347,2,Male,
298,2,Female,
274,2,Female,
193,2,Female,
306,2,Male,
266,2,Female,
344,2,Male,
212,2,Female,
199,1,Female,
206,1,Female,
285,1,Female,
293,1,Male,
230,1,Male,
215,1,Female,
269,1,Male,
245,1,Female,
309,1,Female,
237,1,Female,
317,1,Male,
301,1,Male,
222,1,Female,
334,1,Female,
351,1,Female,
185,11,Male,
325,16,Male,
183,16,Male,
328,16,Female,
322,14,Male,
187,14,Female,
330,14,Male,
180,15,Male,
320,15,Female,
192,15,Female,
176,9,Male,
321,9,Male,
197,12,Male,
324,12,Female,
329,12,Female,
184,12,Male,
273,6,Female,
305,6,Male,
297,6,Female,
281,6,Male,
289,6,Female,
354,6,Male,
195,6,Female,
265,6,Male,
313,6,Male,
219,6,Female,
361,6,Female,
359,6,Male,
343,6,Male,
233,6,Male,
223,7,Female,
335,7,Male,
207,7,Female,
190,7,Female,
310,7,Female,
278,7,Male,
286,7,Male,
179,7,Male,
231,7,Male,
246,7,Male,
254,7,Female,
294,7,Female,
302,7,Male,
262,7,Male,
341,7,Female,
