workerid,proliferate.condition,sex,error
182,10,woman,
318,10,woman,
362,5,woman,
240,5,woman,
288,5,woman,
272,5,woman,
312,5,woman,
209,5,woman,
232,5,woman,
264,5,woman,
178,5,woman,
342,5,woman,
256,5,woman,
201,5,woman,
225,5,woman,
304,5,woman,
360,5,woman,
217,8,woman,
303,8,woman,
255,8,woman,
263,8,woman,
331,8,woman,
247,8,woman,
200,8,woman,
271,8,woman,
224,8,woman,
177,8,woman,
353,8,woman,
358,8,woman,
208,8,woman,
239,8,woman,
308,4,woman,
284,4,woman,
300,4,woman,
345,4,woman,
205,4,woman,
188,4,woman,
268,4,woman,
214,4,woman,
252,4,woman,
338,4,woman,
276,4,woman,
229,4,woman,
221,4,woman,
316,4,woman,
307,3,woman,
275,3,woman,
259,3,woman,
196,3,woman,
346,3,woman,
251,3,woman,
220,3,woman,
228,3,woman,
235,3,woman,
299,3,woman,
243,3,woman,
204,3,woman,
315,3,woman,
267,3,woman,
283,3,woman,
291,3,woman,
213,3,woman,
250,2,woman,
227,2,woman,
314,2,woman,
282,2,woman,
290,2,woman,
203,2,woman,
347,2,woman,
298,2,woman,
274,2,woman,
193,2,woman,
306,2,woman,
266,2,woman,
344,2,woman,
212,2,woman,
199,1,woman,
206,1,woman,
285,1,woman,
293,1,woman,
230,1,woman,
215,1,woman,
269,1,woman,
245,1,woman,
309,1,woman,
237,1,woman,
317,1,woman,
301,1,woman,
222,1,woman,
334,1,woman,
351,1,woman,
185,11,woman,
325,16,woman,
183,16,woman,
328,16,woman,
322,14,woman,
187,14,woman,
330,14,woman,
180,15,woman,
320,15,woman,
192,15,woman,
176,9,woman,
321,9,woman,
197,12,woman,
324,12,woman,
329,12,woman,
184,12,woman,
273,6,woman,
305,6,woman,
297,6,woman,
281,6,woman,
289,6,woman,
354,6,woman,
195,6,woman,
265,6,woman,
313,6,woman,
219,6,woman,
361,6,woman,
359,6,woman,
343,6,woman,
233,6,woman,
223,7,woman,
335,7,woman,
207,7,woman,
190,7,woman,
310,7,woman,
278,7,woman,
286,7,woman,
179,7,woman,
231,7,woman,
246,7,woman,
254,7,woman,
294,7,woman,
302,7,woman,
262,7,woman,
341,7,woman,
