workerid,proliferate.condition,ssh2,error
182,10,swapped,
318,10,sh-like-s,
362,5,normal,
240,5,normal,
288,5,normal,
272,5,normal,
312,5,s-like-sh,
209,5,normal,
232,5,sh-like-s,
264,5,swapped,
178,5,s-like-sh,
342,5,normal,
256,5,normal,
201,5,normal,
225,5,s-like-sh,
304,5,s-like-sh,
360,5,swapped,
217,8,normal,
303,8,normal,
255,8,normal,
263,8,s-like-sh,
331,8,swapped,
247,8,s-like-sh,
200,8,s-like-sh,
271,8,swapped,
224,8,s-like-sh,
177,8,normal,
353,8,sh-like-s,
358,8,normal,
208,8,s-like-sh,
239,8,normal,
308,4,normal,
284,4,normal,
300,4,sh-like-s,
345,4,swapped,
205,4,normal,
188,4,normal,
268,4,normal,
214,4,normal,
252,4,swapped,
338,4,normal,
276,4,normal,
229,4,normal,
221,4,swapped,
316,4,s-like-sh,
307,3,sh-like-s,
275,3,normal,
259,3,swapped,
196,3,sh-like-s,
346,3,s-like-sh,
251,3,s-like-sh,
220,3,sh-like-s,
228,3,normal,
235,3,normal,
299,3,normal,
243,3,normal,
204,3,s-like-sh,
315,3,normal,
267,3,swapped,
283,3,sh-like-s,
291,3,s-like-sh,
213,3,swapped,
250,2,swapped,
227,2,swapped,
314,2,sh-like-s,
282,2,swapped,
290,2,sh-like-s,
203,2,s-like-sh,
347,2,normal,
298,2,s-like-sh,
274,2,swapped,
193,2,normal,
306,2,normal,
266,2,normal,
344,2,s-like-sh,
212,2,normal,
199,1,normal,
206,1,normal,
285,1,sh-like-s,
293,1,normal,
230,1,s-like-sh,
215,1,s-like-sh,
269,1,normal,
245,1,sh-like-s,
309,1,normal,
237,1,normal,
317,1,swapped,
301,1,normal,
222,1,normal,
334,1,sh-like-s,
351,1,normal,
185,11,s-like-sh,
325,16,normal,
183,16,normal,
328,16,normal,
322,14,normal,
187,14,s-like-sh,
330,14,swapped,
180,15,s-like-sh,
320,15,sh-like-s,
192,15,normal,
176,9,s-like-sh,
321,9,normal,
197,12,s-like-sh,
324,12,s-like-sh,
329,12,sh-like-s,
184,12,s-like-sh,
273,6,swapped,
305,6,sh-like-s,
297,6,normal,
281,6,normal,
289,6,sh-like-s,
354,6,normal,
195,6,normal,
265,6,s-like-sh,
313,6,sh-like-s,
219,6,normal,
361,6,s-like-sh,
359,6,sh-like-s,
343,6,swapped,
233,6,normal,
223,7,swapped,
335,7,s-like-sh,
207,7,normal,
190,7,s-like-sh,
310,7,normal,
278,7,normal,
286,7,s-like-sh,
179,7,normal,
231,7,normal,
246,7,normal,
254,7,normal,
294,7,normal,
302,7,normal,
262,7,swapped,
341,7,s-like-sh,
