workerid,proliferate.condition,testSet,error
182,10,C,
318,10,C,
362,5,C,
240,5,C,
288,5,C,
272,5,C,
312,5,C,
209,5,C,
232,5,C,
264,5,C,
178,5,C,
342,5,C,
256,5,C,
201,5,C,
225,5,C,
304,5,C,
360,5,C,
217,8,C,
303,8,C,
255,8,C,
263,8,C,
331,8,C,
247,8,C,
200,8,C,
271,8,C,
224,8,C,
177,8,C,
353,8,C,
358,8,C,
208,8,C,
239,8,C,
308,4,C,
284,4,C,
300,4,C,
345,4,C,
205,4,C,
188,4,C,
268,4,C,
214,4,C,
252,4,C,
338,4,C,
276,4,C,
229,4,C,
221,4,C,
316,4,C,
307,3,C,
275,3,C,
259,3,C,
196,3,C,
346,3,C,
251,3,C,
220,3,C,
228,3,C,
235,3,C,
299,3,C,
243,3,C,
204,3,C,
315,3,C,
267,3,C,
283,3,C,
291,3,C,
213,3,C,
250,2,C,
227,2,C,
314,2,C,
282,2,C,
290,2,C,
203,2,C,
347,2,C,
298,2,C,
274,2,C,
193,2,C,
306,2,C,
266,2,C,
344,2,C,
212,2,C,
199,1,C,
206,1,C,
285,1,C,
293,1,C,
230,1,C,
215,1,C,
269,1,C,
245,1,C,
309,1,C,
237,1,C,
317,1,C,
301,1,C,
222,1,C,
334,1,C,
351,1,C,
185,11,C,
325,16,C,
183,16,C,
328,16,C,
322,14,C,
187,14,C,
330,14,C,
180,15,C,
320,15,C,
192,15,C,
176,9,C,
321,9,C,
197,12,C,
324,12,C,
329,12,C,
184,12,C,
273,6,C,
305,6,C,
297,6,C,
281,6,C,
289,6,C,
354,6,C,
195,6,C,
265,6,C,
313,6,C,
219,6,C,
361,6,C,
359,6,C,
343,6,C,
233,6,C,
223,7,C,
335,7,C,
207,7,C,
190,7,C,
310,7,C,
278,7,C,
286,7,C,
179,7,C,
231,7,C,
246,7,C,
254,7,C,
294,7,C,
302,7,C,
262,7,C,
341,7,C,
