workerid,proliferate.condition,us.timezone,error
182,10,EDT,
318,10,EDT,
362,5,PDT,
240,5,PDT,
288,5,EDT,
272,5,CDT,
312,5,EDT,
209,5,PDT,
232,5,CDT,
264,5,EDT,
178,5,CDT,
342,5,EDT,
256,5,MST,
201,5,EDT,
225,5,EDT,
304,5,EDT,
360,5,PDT,
217,8,EDT,
303,8,EDT,
255,8,EDT,
263,8,EDT,
331,8,EDT,
247,8,CDT,
200,8,EDT,
271,8,EDT,
224,8,CDT,
177,8,CDT,
353,8,EDT,
358,8,EDT,
208,8,EDT,
239,8,EDT,
308,4,CDT,
284,4,EDT,
300,4,CDT,
345,4,PDT,
205,4,CDT,
188,4,EDT,
268,4,EDT,
214,4,CDT,
252,4,Other,
338,4,EDT,
276,4,EDT,
229,4,EDT,
221,4,CDT,
316,4,EDT,
307,3,CDT,
275,3,EDT,
259,3,EDT,
196,3,EDT,
346,3,EDT,
251,3,EDT,
220,3,CDT,
228,3,EDT,
235,3,MST,
299,3,PDT,
243,3,CDT,
204,3,CDT,
315,3,EDT,
267,3,EDT,
283,3,EDT,
291,3,EDT,
213,3,PDT,
250,2,EDT,
227,2,EDT,
314,2,EDT,
282,2,PDT,
290,2,EDT,
203,2,EDT,
347,2,CDT,
298,2,CDT,
274,2,CDT,
193,2,CDT,
306,2,EDT,
266,2,CDT,
344,2,PDT,
212,2,CDT,
199,1,MST,
206,1,EDT,
285,1,EDT,
293,1,EDT,
230,1,CDT,
215,1,EDT,
269,1,CDT,
245,1,EDT,
309,1,EDT,
237,1,EDT,
317,1,EDT,
301,1,EDT,
222,1,EDT,
334,1,CDT,
351,1,CDT,
185,11,MST,
325,16,PDT,
183,16,EDT,
328,16,EDT,
322,14,EDT,
187,14,EDT,
330,14,CDT,
180,15,PDT,
320,15,EDT,
192,15,PDT,
176,9,EDT,
321,9,EDT,
197,12,PDT,
324,12,EDT,
329,12,EDT,
184,12,EDT,
273,6,EDT,
305,6,MST,
297,6,EDT,
281,6,CDT,
289,6,EDT,
354,6,CDT,
195,6,PDT,
265,6,EDT,
313,6,EDT,
219,6,EDT,
361,6,EDT,
359,6,PDT,
343,6,EDT,
233,6,MST,
223,7,CDT,
335,7,EDT,
207,7,EDT,
190,7,CDT,
310,7,EDT,
278,7,EDT,
286,7,EDT,
179,7,CDT,
231,7,EDT,
246,7,CDT,
254,7,CDT,
294,7,CDT,
302,7,EDT,
262,7,EDT,
341,7,EDT,
