workerid,proliferate.condition,userDateTimeOffset,error
182,10,240,
318,10,240,
362,5,420,
240,5,300,
288,5,240,
272,5,300,
312,5,240,
209,5,420,
232,5,300,
264,5,240,
178,5,240,
342,5,240,
256,5,240,
201,5,240,
225,5,240,
304,5,240,
360,5,420,
217,8,240,
303,8,240,
255,8,240,
263,8,240,
331,8,240,
247,8,300,
200,8,240,
271,8,240,
224,8,300,
177,8,300,
353,8,240,
358,8,240,
208,8,240,
239,8,240,
308,4,300,
284,4,240,
300,4,300,
345,4,420,
205,4,300,
188,4,240,
268,4,240,
214,4,300,
252,4,420,
338,4,240,
276,4,240,
229,4,240,
221,4,300,
316,4,240,
307,3,300,
275,3,240,
259,3,240,
196,3,240,
346,3,240,
251,3,240,
220,3,300,
228,3,240,
235,3,420,
299,3,420,
243,3,300,
204,3,300,
315,3,240,
267,3,240,
283,3,240,
291,3,240,
213,3,420,
250,2,240,
227,2,240,
314,2,240,
282,2,420,
290,2,240,
203,2,240,
347,2,300,
298,2,300,
274,2,300,
193,2,300,
306,2,240,
266,2,300,
344,2,420,
212,2,300,
199,1,360,
206,1,240,
285,1,240,
293,1,240,
230,1,300,
215,1,240,
269,1,300,
245,1,240,
309,1,240,
237,1,240,
317,1,240,
301,1,240,
222,1,240,
334,1,300,
351,1,300,
185,11,360,
325,16,420,
183,16,240,
328,16,240,
322,14,240,
187,14,240,
330,14,300,
180,15,420,
320,15,240,
192,15,420,
176,9,240,
321,9,240,
197,12,420,
324,12,240,
329,12,240,
184,12,240,
273,6,240,
305,6,360,
297,6,240,
281,6,300,
289,6,240,
354,6,300,
195,6,420,
265,6,240,
313,6,240,
219,6,240,
361,6,240,
359,6,420,
343,6,240,
233,6,360,
223,7,300,
335,7,240,
207,7,240,
190,7,300,
310,7,240,
278,7,240,
286,7,240,
179,7,300,
231,7,240,
246,7,300,
254,7,420,
294,7,300,
302,7,240,
262,7,240,
341,7,240,
