workerid,prolific_participant_id
182,<no-id>
318,<no-id>
362,<no-id>
240,<no-id>
288,<no-id>
272,<no-id>
312,<no-id>
209,<no-id>
232,<no-id>
264,<no-id>
178,<no-id>
342,<no-id>
256,<no-id>
201,<no-id>
225,<no-id>
304,<no-id>
360,<no-id>
217,<no-id>
303,<no-id>
255,<no-id>
263,<no-id>
331,<no-id>
247,<no-id>
200,<no-id>
271,<no-id>
224,<no-id>
177,<no-id>
353,<no-id>
358,<no-id>
208,<no-id>
239,<no-id>
308,<no-id>
284,<no-id>
300,<no-id>
345,<no-id>
205,<no-id>
188,<no-id>
268,<no-id>
214,<no-id>
252,<no-id>
338,<no-id>
276,<no-id>
229,<no-id>
221,<no-id>
316,<no-id>
307,<no-id>
275,<no-id>
259,<no-id>
196,<no-id>
346,<no-id>
251,<no-id>
220,<no-id>
228,<no-id>
235,<no-id>
299,<no-id>
243,<no-id>
204,<no-id>
315,<no-id>
267,<no-id>
283,<no-id>
291,<no-id>
213,<no-id>
250,<no-id>
227,<no-id>
314,<no-id>
282,<no-id>
290,<no-id>
203,<no-id>
347,<no-id>
298,<no-id>
274,<no-id>
193,<no-id>
306,<no-id>
266,<no-id>
344,<no-id>
212,<no-id>
199,<no-id>
206,<no-id>
285,<no-id>
293,<no-id>
230,<no-id>
215,<no-id>
269,<no-id>
245,<no-id>
309,<no-id>
237,<no-id>
317,<no-id>
301,<no-id>
222,<no-id>
334,<no-id>
351,<no-id>
185,<no-id>
325,<no-id>
183,<no-id>
328,<no-id>
322,<no-id>
187,<no-id>
330,<no-id>
180,<no-id>
320,<no-id>
192,<no-id>
176,<no-id>
321,<no-id>
197,<no-id>
324,<no-id>
329,<no-id>
184,<no-id>
273,<no-id>
305,<no-id>
297,<no-id>
281,<no-id>
289,<no-id>
354,<no-id>
195,<no-id>
265,<no-id>
313,<no-id>
219,<no-id>
361,<no-id>
359,<no-id>
343,<no-id>
233,<no-id>
223,<no-id>
335,<no-id>
207,<no-id>
190,<no-id>
310,<no-id>
278,<no-id>
286,<no-id>
179,<no-id>
231,<no-id>
246,<no-id>
254,<no-id>
294,<no-id>
302,<no-id>
262,<no-id>
341,<no-id>
