workerid,proliferate.condition,comments,error
386,condition=H&label=SH&respKeyExp=0&respKeyTest=1,None. Thank you.,
461,condition=H&label=SH&respKeyExp=0&respKeyTest=1,I was hoping you'd ask about the sound and visuals. The sounds seemed normal but sometimes sounded similar or indistinguisable. The visual seemed to be different or not helpful. Sometimes they were.,
282,condition=H&label=SH&respKeyExp=0&respKeyTest=1,everything was good i enjoyed taking the study,
313,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"all of the asi and ashi sounded like asi to me, so I based my difference on basically reading the 'speaker's lips",
153,condition=H&label=SH&respKeyExp=0&respKeyTest=1,,
104,condition=H&label=SH&respKeyExp=0&respKeyTest=1,,
78,condition=H&label=SH&respKeyExp=0&respKeyTest=1,,
254,condition=H&label=SH&respKeyExp=0&respKeyTest=1,,
93,condition=H&label=SH&respKeyExp=0&respKeyTest=1,,
464,condition=H&label=SH&respKeyExp=0&respKeyTest=1,,
267,condition=H&label=SH&respKeyExp=0&respKeyTest=1,Thank you,
298,condition=H&label=SH&respKeyExp=0&respKeyTest=1,,
88,condition=H&label=SH&respKeyExp=0&respKeyTest=1,,
144,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"No issues, thank you.",
117,condition=H&label=SH&respKeyExp=0&respKeyTest=1,,
311,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"During the second part, I did not notice one white dot.  I did look, but also noticed that the video woud fade in and out and am hoping that I did not miss them as a result.",
393,condition=H&label=SH&respKeyExp=0&respKeyTest=1,Thank you for having me!,
79,condition=H&label=SH&respKeyExp=1&respKeyTest=1,n/a,
309,condition=H&label=SH&respKeyExp=1&respKeyTest=1,,
281,condition=H&label=SH&respKeyExp=1&respKeyTest=1,,
255,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"I recognized that video and audio didn't match during the second part of the experiment, but I didn't think you were looking for that type of feedback when you asked if anything seemed odd about the woman. I am a former smoker; I quit a few years ago.",
116,condition=H&label=SH&respKeyExp=1&respKeyTest=1,,
112,condition=H&label=SH&respKeyExp=1&respKeyTest=1,This was interesting!,
105,condition=H&label=SH&respKeyExp=1&respKeyTest=1,,
452,condition=H&label=SH&respKeyExp=1&respKeyTest=1,None,
249,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"In part one, I sometimes thought the words sounded like some ones name, They actually could be, like a football player or similar, lol.",
406,condition=H&label=SH&respKeyExp=1&respKeyTest=1,no comment,
297,condition=H&label=SH&respKeyExp=1&respKeyTest=1,,
156,condition=H&label=SH&respKeyExp=1&respKeyTest=1,,
124,condition=H&label=SH&respKeyExp=1&respKeyTest=1,,
312,condition=H&label=SH&respKeyExp=1&respKeyTest=1,I suspected the audio/video files were manipulated to influence our perception of the sound. I've heard of this being done before and watched a video about it on youtube.,
