workerid,proliferate.condition,condition,error
386,condition=H&label=SH&respKeyExp=0&respKeyTest=1,H,
461,condition=H&label=SH&respKeyExp=0&respKeyTest=1,H,
282,condition=H&label=SH&respKeyExp=0&respKeyTest=1,H,
313,condition=H&label=SH&respKeyExp=0&respKeyTest=1,H,
153,condition=H&label=SH&respKeyExp=0&respKeyTest=1,H,
104,condition=H&label=SH&respKeyExp=0&respKeyTest=1,H,
78,condition=H&label=SH&respKeyExp=0&respKeyTest=1,H,
254,condition=H&label=SH&respKeyExp=0&respKeyTest=1,H,
93,condition=H&label=SH&respKeyExp=0&respKeyTest=1,H,
464,condition=H&label=SH&respKeyExp=0&respKeyTest=1,H,
267,condition=H&label=SH&respKeyExp=0&respKeyTest=1,H,
298,condition=H&label=SH&respKeyExp=0&respKeyTest=1,H,
88,condition=H&label=SH&respKeyExp=0&respKeyTest=1,H,
144,condition=H&label=SH&respKeyExp=0&respKeyTest=1,H,
117,condition=H&label=SH&respKeyExp=0&respKeyTest=1,H,
311,condition=H&label=SH&respKeyExp=0&respKeyTest=1,H,
393,condition=H&label=SH&respKeyExp=0&respKeyTest=1,H,
79,condition=H&label=SH&respKeyExp=1&respKeyTest=1,H,
309,condition=H&label=SH&respKeyExp=1&respKeyTest=1,H,
281,condition=H&label=SH&respKeyExp=1&respKeyTest=1,H,
255,condition=H&label=SH&respKeyExp=1&respKeyTest=1,H,
116,condition=H&label=SH&respKeyExp=1&respKeyTest=1,H,
112,condition=H&label=SH&respKeyExp=1&respKeyTest=1,H,
105,condition=H&label=SH&respKeyExp=1&respKeyTest=1,H,
452,condition=H&label=SH&respKeyExp=1&respKeyTest=1,H,
249,condition=H&label=SH&respKeyExp=1&respKeyTest=1,H,
406,condition=H&label=SH&respKeyExp=1&respKeyTest=1,H,
297,condition=H&label=SH&respKeyExp=1&respKeyTest=1,H,
156,condition=H&label=SH&respKeyExp=1&respKeyTest=1,H,
124,condition=H&label=SH&respKeyExp=1&respKeyTest=1,H,
312,condition=H&label=SH&respKeyExp=1&respKeyTest=1,H,
