workerid,proliferate.condition,expSet,error
386,condition=H&label=SH&respKeyExp=0&respKeyTest=1,B,
461,condition=H&label=SH&respKeyExp=0&respKeyTest=1,B,
282,condition=H&label=SH&respKeyExp=0&respKeyTest=1,B,
313,condition=H&label=SH&respKeyExp=0&respKeyTest=1,B,
153,condition=H&label=SH&respKeyExp=0&respKeyTest=1,B,
104,condition=H&label=SH&respKeyExp=0&respKeyTest=1,B,
78,condition=H&label=SH&respKeyExp=0&respKeyTest=1,B,
254,condition=H&label=SH&respKeyExp=0&respKeyTest=1,B,
93,condition=H&label=SH&respKeyExp=0&respKeyTest=1,B,
464,condition=H&label=SH&respKeyExp=0&respKeyTest=1,B,
267,condition=H&label=SH&respKeyExp=0&respKeyTest=1,B,
298,condition=H&label=SH&respKeyExp=0&respKeyTest=1,B,
88,condition=H&label=SH&respKeyExp=0&respKeyTest=1,B,
144,condition=H&label=SH&respKeyExp=0&respKeyTest=1,B,
117,condition=H&label=SH&respKeyExp=0&respKeyTest=1,B,
311,condition=H&label=SH&respKeyExp=0&respKeyTest=1,B,
393,condition=H&label=SH&respKeyExp=0&respKeyTest=1,B,
79,condition=H&label=SH&respKeyExp=1&respKeyTest=1,B,
309,condition=H&label=SH&respKeyExp=1&respKeyTest=1,B,
281,condition=H&label=SH&respKeyExp=1&respKeyTest=1,B,
255,condition=H&label=SH&respKeyExp=1&respKeyTest=1,B,
116,condition=H&label=SH&respKeyExp=1&respKeyTest=1,B,
112,condition=H&label=SH&respKeyExp=1&respKeyTest=1,B,
105,condition=H&label=SH&respKeyExp=1&respKeyTest=1,B,
452,condition=H&label=SH&respKeyExp=1&respKeyTest=1,B,
249,condition=H&label=SH&respKeyExp=1&respKeyTest=1,B,
406,condition=H&label=SH&respKeyExp=1&respKeyTest=1,B,
297,condition=H&label=SH&respKeyExp=1&respKeyTest=1,B,
156,condition=H&label=SH&respKeyExp=1&respKeyTest=1,B,
124,condition=H&label=SH&respKeyExp=1&respKeyTest=1,B,
312,condition=H&label=SH&respKeyExp=1&respKeyTest=1,B,
392,condition=H&label=SH&respKeyExp=1&respKeyTest=1,B,
81,condition=H&label=SH&respKeyExp=1&respKeyTest=1,B,
280,condition=M&label=SH&respKeyExp=1&respKeyTest=0,B,
220,condition=M&label=SH&respKeyExp=1&respKeyTest=0,B,
444,condition=M&label=SH&respKeyExp=1&respKeyTest=0,B,
242,condition=M&label=SH&respKeyExp=1&respKeyTest=0,B,
180,condition=M&label=SH&respKeyExp=1&respKeyTest=0,B,
200,condition=M&label=SH&respKeyExp=1&respKeyTest=0,B,
173,condition=M&label=SH&respKeyExp=1&respKeyTest=0,B,
351,condition=M&label=SH&respKeyExp=1&respKeyTest=0,B,
253,condition=M&label=SH&respKeyExp=1&respKeyTest=0,B,
162,condition=M&label=SH&respKeyExp=1&respKeyTest=0,B,
265,condition=M&label=SH&respKeyExp=1&respKeyTest=0,B,
331,condition=M&label=SH&respKeyExp=1&respKeyTest=0,B,
243,condition=M&label=SH&respKeyExp=1&respKeyTest=0,B,
326,condition=M&label=SH&respKeyExp=1&respKeyTest=0,B,
450,condition=M&label=SH&respKeyExp=1&respKeyTest=0,B,
370,condition=M&label=SH&respKeyExp=1&respKeyTest=0,B,
345,condition=H&label=S&respKeyExp=1&respKeyTest=1,B,
148,condition=H&label=S&respKeyExp=1&respKeyTest=1,B,
264,condition=H&label=S&respKeyExp=1&respKeyTest=1,B,
279,condition=H&label=S&respKeyExp=1&respKeyTest=1,B,
150,condition=H&label=S&respKeyExp=1&respKeyTest=1,B,
385,condition=H&label=S&respKeyExp=1&respKeyTest=1,B,
84,condition=H&label=S&respKeyExp=1&respKeyTest=1,B,
71,condition=H&label=S&respKeyExp=1&respKeyTest=1,B,
135,condition=H&label=S&respKeyExp=1&respKeyTest=1,B,
140,condition=H&label=S&respKeyExp=1&respKeyTest=1,B,
143,condition=H&label=S&respKeyExp=1&respKeyTest=1,B,
295,condition=H&label=S&respKeyExp=1&respKeyTest=1,B,
435,condition=H&label=S&respKeyExp=1&respKeyTest=1,B,
368,condition=H&label=S&respKeyExp=1&respKeyTest=1,B,
96,condition=H&label=S&respKeyExp=1&respKeyTest=1,B,
426,condition=H&label=S&respKeyExp=1&respKeyTest=1,B,
448,condition=H&label=S&respKeyExp=1&respKeyTest=0,B,
294,condition=H&label=S&respKeyExp=1&respKeyTest=0,B,
366,condition=H&label=S&respKeyExp=1&respKeyTest=0,B,
