workerid,proliferate.condition,experiment_id,error
386,condition=H&label=SH&respKeyExp=0&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
461,condition=H&label=SH&respKeyExp=0&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
282,condition=H&label=SH&respKeyExp=0&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
313,condition=H&label=SH&respKeyExp=0&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
153,condition=H&label=SH&respKeyExp=0&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
104,condition=H&label=SH&respKeyExp=0&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
78,condition=H&label=SH&respKeyExp=0&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
254,condition=H&label=SH&respKeyExp=0&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
93,condition=H&label=SH&respKeyExp=0&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
464,condition=H&label=SH&respKeyExp=0&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
267,condition=H&label=SH&respKeyExp=0&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
298,condition=H&label=SH&respKeyExp=0&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
88,condition=H&label=SH&respKeyExp=0&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
144,condition=H&label=SH&respKeyExp=0&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
117,condition=H&label=SH&respKeyExp=0&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
311,condition=H&label=SH&respKeyExp=0&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
393,condition=H&label=SH&respKeyExp=0&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
79,condition=H&label=SH&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
309,condition=H&label=SH&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
281,condition=H&label=SH&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
255,condition=H&label=SH&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
116,condition=H&label=SH&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
112,condition=H&label=SH&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
105,condition=H&label=SH&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
452,condition=H&label=SH&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
249,condition=H&label=SH&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
406,condition=H&label=SH&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
297,condition=H&label=SH&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
156,condition=H&label=SH&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
124,condition=H&label=SH&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
312,condition=H&label=SH&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
392,condition=H&label=SH&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
81,condition=H&label=SH&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
280,condition=M&label=SH&respKeyExp=1&respKeyTest=0,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
220,condition=M&label=SH&respKeyExp=1&respKeyTest=0,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
444,condition=M&label=SH&respKeyExp=1&respKeyTest=0,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
242,condition=M&label=SH&respKeyExp=1&respKeyTest=0,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
180,condition=M&label=SH&respKeyExp=1&respKeyTest=0,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
200,condition=M&label=SH&respKeyExp=1&respKeyTest=0,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
173,condition=M&label=SH&respKeyExp=1&respKeyTest=0,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
351,condition=M&label=SH&respKeyExp=1&respKeyTest=0,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
253,condition=M&label=SH&respKeyExp=1&respKeyTest=0,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
162,condition=M&label=SH&respKeyExp=1&respKeyTest=0,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
265,condition=M&label=SH&respKeyExp=1&respKeyTest=0,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
331,condition=M&label=SH&respKeyExp=1&respKeyTest=0,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
243,condition=M&label=SH&respKeyExp=1&respKeyTest=0,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
326,condition=M&label=SH&respKeyExp=1&respKeyTest=0,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
450,condition=M&label=SH&respKeyExp=1&respKeyTest=0,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
370,condition=M&label=SH&respKeyExp=1&respKeyTest=0,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
345,condition=H&label=S&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
148,condition=H&label=S&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
264,condition=H&label=S&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
279,condition=H&label=S&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
150,condition=H&label=S&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
385,condition=H&label=S&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
84,condition=H&label=S&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
71,condition=H&label=S&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
135,condition=H&label=S&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
140,condition=H&label=S&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
143,condition=H&label=S&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
295,condition=H&label=S&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
435,condition=H&label=S&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
368,condition=H&label=S&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
96,condition=H&label=S&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
426,condition=H&label=S&respKeyExp=1&respKeyTest=1,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
448,condition=H&label=S&respKeyExp=1&respKeyTest=0,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
294,condition=H&label=S&respKeyExp=1&respKeyTest=0,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
366,condition=H&label=S&respKeyExp=1&respKeyTest=0,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
278,condition=H&label=S&respKeyExp=1&respKeyTest=0,3eb3fa91-7ae3-49b9-b1bd-bec623420349,
