workerid,proliferate.condition,platform,error
386,condition=H&label=SH&respKeyExp=0&respKeyTest=1,prolific,
461,condition=H&label=SH&respKeyExp=0&respKeyTest=1,prolific,
282,condition=H&label=SH&respKeyExp=0&respKeyTest=1,prolific,
313,condition=H&label=SH&respKeyExp=0&respKeyTest=1,prolific,
153,condition=H&label=SH&respKeyExp=0&respKeyTest=1,prolific,
104,condition=H&label=SH&respKeyExp=0&respKeyTest=1,prolific,
78,condition=H&label=SH&respKeyExp=0&respKeyTest=1,prolific,
254,condition=H&label=SH&respKeyExp=0&respKeyTest=1,prolific,
93,condition=H&label=SH&respKeyExp=0&respKeyTest=1,prolific,
464,condition=H&label=SH&respKeyExp=0&respKeyTest=1,prolific,
267,condition=H&label=SH&respKeyExp=0&respKeyTest=1,prolific,
298,condition=H&label=SH&respKeyExp=0&respKeyTest=1,prolific,
88,condition=H&label=SH&respKeyExp=0&respKeyTest=1,prolific,
144,condition=H&label=SH&respKeyExp=0&respKeyTest=1,prolific,
117,condition=H&label=SH&respKeyExp=0&respKeyTest=1,prolific,
311,condition=H&label=SH&respKeyExp=0&respKeyTest=1,prolific,
393,condition=H&label=SH&respKeyExp=0&respKeyTest=1,prolific,
79,condition=H&label=SH&respKeyExp=1&respKeyTest=1,prolific,
309,condition=H&label=SH&respKeyExp=1&respKeyTest=1,prolific,
281,condition=H&label=SH&respKeyExp=1&respKeyTest=1,prolific,
255,condition=H&label=SH&respKeyExp=1&respKeyTest=1,prolific,
116,condition=H&label=SH&respKeyExp=1&respKeyTest=1,prolific,
112,condition=H&label=SH&respKeyExp=1&respKeyTest=1,prolific,
105,condition=H&label=SH&respKeyExp=1&respKeyTest=1,prolific,
452,condition=H&label=SH&respKeyExp=1&respKeyTest=1,prolific,
249,condition=H&label=SH&respKeyExp=1&respKeyTest=1,prolific,
406,condition=H&label=SH&respKeyExp=1&respKeyTest=1,prolific,
297,condition=H&label=SH&respKeyExp=1&respKeyTest=1,prolific,
156,condition=H&label=SH&respKeyExp=1&respKeyTest=1,prolific,
124,condition=H&label=SH&respKeyExp=1&respKeyTest=1,prolific,
312,condition=H&label=SH&respKeyExp=1&respKeyTest=1,prolific,
392,condition=H&label=SH&respKeyExp=1&respKeyTest=1,prolific,
81,condition=H&label=SH&respKeyExp=1&respKeyTest=1,prolific,
280,condition=M&label=SH&respKeyExp=1&respKeyTest=0,prolific,
220,condition=M&label=SH&respKeyExp=1&respKeyTest=0,prolific,
444,condition=M&label=SH&respKeyExp=1&respKeyTest=0,prolific,
242,condition=M&label=SH&respKeyExp=1&respKeyTest=0,prolific,
180,condition=M&label=SH&respKeyExp=1&respKeyTest=0,prolific,
200,condition=M&label=SH&respKeyExp=1&respKeyTest=0,prolific,
173,condition=M&label=SH&respKeyExp=1&respKeyTest=0,prolific,
351,condition=M&label=SH&respKeyExp=1&respKeyTest=0,prolific,
253,condition=M&label=SH&respKeyExp=1&respKeyTest=0,prolific,
162,condition=M&label=SH&respKeyExp=1&respKeyTest=0,prolific,
265,condition=M&label=SH&respKeyExp=1&respKeyTest=0,prolific,
331,condition=M&label=SH&respKeyExp=1&respKeyTest=0,prolific,
243,condition=M&label=SH&respKeyExp=1&respKeyTest=0,prolific,
326,condition=M&label=SH&respKeyExp=1&respKeyTest=0,prolific,
450,condition=M&label=SH&respKeyExp=1&respKeyTest=0,prolific,
370,condition=M&label=SH&respKeyExp=1&respKeyTest=0,prolific,
345,condition=H&label=S&respKeyExp=1&respKeyTest=1,prolific,
148,condition=H&label=S&respKeyExp=1&respKeyTest=1,prolific,
264,condition=H&label=S&respKeyExp=1&respKeyTest=1,prolific,
279,condition=H&label=S&respKeyExp=1&respKeyTest=1,prolific,
150,condition=H&label=S&respKeyExp=1&respKeyTest=1,prolific,
385,condition=H&label=S&respKeyExp=1&respKeyTest=1,prolific,
84,condition=H&label=S&respKeyExp=1&respKeyTest=1,prolific,
71,condition=H&label=S&respKeyExp=1&respKeyTest=1,prolific,
135,condition=H&label=S&respKeyExp=1&respKeyTest=1,prolific,
140,condition=H&label=S&respKeyExp=1&respKeyTest=1,prolific,
143,condition=H&label=S&respKeyExp=1&respKeyTest=1,prolific,
295,condition=H&label=S&respKeyExp=1&respKeyTest=1,prolific,
435,condition=H&label=S&respKeyExp=1&respKeyTest=1,prolific,
368,condition=H&label=S&respKeyExp=1&respKeyTest=1,prolific,
96,condition=H&label=S&respKeyExp=1&respKeyTest=1,prolific,
426,condition=H&label=S&respKeyExp=1&respKeyTest=1,prolific,
448,condition=H&label=S&respKeyExp=1&respKeyTest=0,prolific,
294,condition=H&label=S&respKeyExp=1&respKeyTest=0,prolific,
366,condition=H&label=S&respKeyExp=1&respKeyTest=0,prolific,
278,condition=H&label=S&respKeyExp=1&respKeyTest=0,prolific,
70,condition=H&label=S&respKeyExp=1&respKeyTest=0,prolific,
126,condition=H&label=S&respKeyExp=1&respKeyTest=0,prolific,
357,condition=H&label=S&respKeyExp=1&respKeyTest=0,prolific,
127,condition=H&label=S&respKeyExp=1&respKeyTest=0,prolific,
121,condition=H&label=S&respKeyExp=1&respKeyTest=0,prolific,
134,condition=H&label=S&respKeyExp=1&respKeyTest=0,prolific,
108,condition=H&label=S&respKeyExp=1&respKeyTest=0,prolific,
138,condition=H&label=S&respKeyExp=1&respKeyTest=0,prolific,
115,condition=H&label=S&respKeyExp=1&respKeyTest=0,prolific,
403,condition=H&label=S&respKeyExp=1&respKeyTest=0,prolific,
424,condition=H&label=S&respKeyExp=1&respKeyTest=0,prolific,
119,condition=H&label=S&respKeyExp=1&respKeyTest=0,prolific,
308,condition=M&label=S&respKeyExp=1&respKeyTest=0,prolific,
163,condition=M&label=S&respKeyExp=1&respKeyTest=0,prolific,
402,condition=M&label=S&respKeyExp=1&respKeyTest=0,prolific,
391,condition=M&label=S&respKeyExp=1&respKeyTest=0,prolific,
293,condition=M&label=S&respKeyExp=1&respKeyTest=0,prolific,
335,condition=M&label=S&respKeyExp=1&respKeyTest=0,prolific,
226,condition=M&label=S&respKeyExp=1&respKeyTest=0,prolific,
199,condition=M&label=S&respKeyExp=1&respKeyTest=0,prolific,
160,condition=M&label=S&respKeyExp=1&respKeyTest=0,prolific,
319,condition=M&label=S&respKeyExp=1&respKeyTest=0,prolific,
315,condition=M&label=S&respKeyExp=1&respKeyTest=0,prolific,
384,condition=M&label=S&respKeyExp=1&respKeyTest=0,prolific,
211,condition=M&label=S&respKeyExp=1&respKeyTest=0,prolific,
222,condition=M&label=S&respKeyExp=1&respKeyTest=0,prolific,
193,condition=M&label=S&respKeyExp=1&respKeyTest=0,prolific,
328,condition=H&label=SH&respKeyExp=1&respKeyTest=0,prolific,
457,condition=H&label=SH&respKeyExp=1&respKeyTest=0,prolific,
90,condition=H&label=SH&respKeyExp=1&respKeyTest=0,prolific,
86,condition=H&label=SH&respKeyExp=1&respKeyTest=0,prolific,
364,condition=H&label=SH&respKeyExp=1&respKeyTest=0,prolific,
142,condition=H&label=SH&respKeyExp=1&respKeyTest=0,prolific,
157,condition=H&label=SH&respKeyExp=1&respKeyTest=0,prolific,
98,condition=H&label=SH&respKeyExp=1&respKeyTest=0,prolific,
137,condition=H&label=SH&respKeyExp=1&respKeyTest=0,prolific,
344,condition=H&label=SH&respKeyExp=1&respKeyTest=0,prolific,
276,condition=H&label=SH&respKeyExp=1&respKeyTest=0,prolific,
400,condition=H&label=SH&respKeyExp=1&respKeyTest=0,prolific,
149,condition=H&label=SH&respKeyExp=1&respKeyTest=0,prolific,
103,condition=H&label=SH&respKeyExp=1&respKeyTest=0,prolific,
74,condition=H&label=SH&respKeyExp=1&respKeyTest=0,prolific,
459,condition=H&label=SH&respKeyExp=1&respKeyTest=0,prolific,
204,condition=M&label=S&respKeyExp=0&respKeyTest=0,prolific,
363,condition=M&label=S&respKeyExp=0&respKeyTest=0,prolific,
379,condition=M&label=S&respKeyExp=0&respKeyTest=0,prolific,
221,condition=M&label=S&respKeyExp=0&respKeyTest=0,prolific,
