workerid,proliferate.condition,practEnforcePerfection,error
386,condition=H&label=SH&respKeyExp=0&respKeyTest=1,F,
461,condition=H&label=SH&respKeyExp=0&respKeyTest=1,F,
282,condition=H&label=SH&respKeyExp=0&respKeyTest=1,F,
313,condition=H&label=SH&respKeyExp=0&respKeyTest=1,F,
153,condition=H&label=SH&respKeyExp=0&respKeyTest=1,F,
104,condition=H&label=SH&respKeyExp=0&respKeyTest=1,F,
78,condition=H&label=SH&respKeyExp=0&respKeyTest=1,F,
254,condition=H&label=SH&respKeyExp=0&respKeyTest=1,F,
93,condition=H&label=SH&respKeyExp=0&respKeyTest=1,F,
464,condition=H&label=SH&respKeyExp=0&respKeyTest=1,F,
267,condition=H&label=SH&respKeyExp=0&respKeyTest=1,F,
298,condition=H&label=SH&respKeyExp=0&respKeyTest=1,F,
88,condition=H&label=SH&respKeyExp=0&respKeyTest=1,F,
144,condition=H&label=SH&respKeyExp=0&respKeyTest=1,F,
117,condition=H&label=SH&respKeyExp=0&respKeyTest=1,F,
311,condition=H&label=SH&respKeyExp=0&respKeyTest=1,F,
393,condition=H&label=SH&respKeyExp=0&respKeyTest=1,F,
79,condition=H&label=SH&respKeyExp=1&respKeyTest=1,F,
309,condition=H&label=SH&respKeyExp=1&respKeyTest=1,F,
281,condition=H&label=SH&respKeyExp=1&respKeyTest=1,F,
255,condition=H&label=SH&respKeyExp=1&respKeyTest=1,F,
116,condition=H&label=SH&respKeyExp=1&respKeyTest=1,F,
112,condition=H&label=SH&respKeyExp=1&respKeyTest=1,F,
105,condition=H&label=SH&respKeyExp=1&respKeyTest=1,F,
452,condition=H&label=SH&respKeyExp=1&respKeyTest=1,F,
249,condition=H&label=SH&respKeyExp=1&respKeyTest=1,F,
406,condition=H&label=SH&respKeyExp=1&respKeyTest=1,F,
297,condition=H&label=SH&respKeyExp=1&respKeyTest=1,F,
156,condition=H&label=SH&respKeyExp=1&respKeyTest=1,F,
124,condition=H&label=SH&respKeyExp=1&respKeyTest=1,F,
312,condition=H&label=SH&respKeyExp=1&respKeyTest=1,F,
392,condition=H&label=SH&respKeyExp=1&respKeyTest=1,F,
81,condition=H&label=SH&respKeyExp=1&respKeyTest=1,F,
280,condition=M&label=SH&respKeyExp=1&respKeyTest=0,F,
220,condition=M&label=SH&respKeyExp=1&respKeyTest=0,F,
444,condition=M&label=SH&respKeyExp=1&respKeyTest=0,F,
242,condition=M&label=SH&respKeyExp=1&respKeyTest=0,F,
180,condition=M&label=SH&respKeyExp=1&respKeyTest=0,F,
200,condition=M&label=SH&respKeyExp=1&respKeyTest=0,F,
173,condition=M&label=SH&respKeyExp=1&respKeyTest=0,F,
351,condition=M&label=SH&respKeyExp=1&respKeyTest=0,F,
253,condition=M&label=SH&respKeyExp=1&respKeyTest=0,F,
162,condition=M&label=SH&respKeyExp=1&respKeyTest=0,F,
265,condition=M&label=SH&respKeyExp=1&respKeyTest=0,F,
331,condition=M&label=SH&respKeyExp=1&respKeyTest=0,F,
243,condition=M&label=SH&respKeyExp=1&respKeyTest=0,F,
326,condition=M&label=SH&respKeyExp=1&respKeyTest=0,F,
450,condition=M&label=SH&respKeyExp=1&respKeyTest=0,F,
370,condition=M&label=SH&respKeyExp=1&respKeyTest=0,F,
345,condition=H&label=S&respKeyExp=1&respKeyTest=1,F,
148,condition=H&label=S&respKeyExp=1&respKeyTest=1,F,
264,condition=H&label=S&respKeyExp=1&respKeyTest=1,F,
279,condition=H&label=S&respKeyExp=1&respKeyTest=1,F,
150,condition=H&label=S&respKeyExp=1&respKeyTest=1,F,
385,condition=H&label=S&respKeyExp=1&respKeyTest=1,F,
84,condition=H&label=S&respKeyExp=1&respKeyTest=1,F,
71,condition=H&label=S&respKeyExp=1&respKeyTest=1,F,
135,condition=H&label=S&respKeyExp=1&respKeyTest=1,F,
140,condition=H&label=S&respKeyExp=1&respKeyTest=1,F,
143,condition=H&label=S&respKeyExp=1&respKeyTest=1,F,
295,condition=H&label=S&respKeyExp=1&respKeyTest=1,F,
435,condition=H&label=S&respKeyExp=1&respKeyTest=1,F,
368,condition=H&label=S&respKeyExp=1&respKeyTest=1,F,
96,condition=H&label=S&respKeyExp=1&respKeyTest=1,F,
426,condition=H&label=S&respKeyExp=1&respKeyTest=1,F,
448,condition=H&label=S&respKeyExp=1&respKeyTest=0,F,
294,condition=H&label=S&respKeyExp=1&respKeyTest=0,F,
366,condition=H&label=S&respKeyExp=1&respKeyTest=0,F,
278,condition=H&label=S&respKeyExp=1&respKeyTest=0,F,
70,condition=H&label=S&respKeyExp=1&respKeyTest=0,F,
126,condition=H&label=S&respKeyExp=1&respKeyTest=0,F,
357,condition=H&label=S&respKeyExp=1&respKeyTest=0,F,
127,condition=H&label=S&respKeyExp=1&respKeyTest=0,F,
121,condition=H&label=S&respKeyExp=1&respKeyTest=0,F,
134,condition=H&label=S&respKeyExp=1&respKeyTest=0,F,
108,condition=H&label=S&respKeyExp=1&respKeyTest=0,F,
138,condition=H&label=S&respKeyExp=1&respKeyTest=0,F,
115,condition=H&label=S&respKeyExp=1&respKeyTest=0,F,
403,condition=H&label=S&respKeyExp=1&respKeyTest=0,F,
424,condition=H&label=S&respKeyExp=1&respKeyTest=0,F,
119,condition=H&label=S&respKeyExp=1&respKeyTest=0,F,
308,condition=M&label=S&respKeyExp=1&respKeyTest=0,F,
163,condition=M&label=S&respKeyExp=1&respKeyTest=0,F,
402,condition=M&label=S&respKeyExp=1&respKeyTest=0,F,
391,condition=M&label=S&respKeyExp=1&respKeyTest=0,F,
293,condition=M&label=S&respKeyExp=1&respKeyTest=0,F,
335,condition=M&label=S&respKeyExp=1&respKeyTest=0,F,
226,condition=M&label=S&respKeyExp=1&respKeyTest=0,F,
199,condition=M&label=S&respKeyExp=1&respKeyTest=0,F,
160,condition=M&label=S&respKeyExp=1&respKeyTest=0,F,
319,condition=M&label=S&respKeyExp=1&respKeyTest=0,F,
