workerid,proliferate.condition,practiceResp,error
386,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"practice,0,2,FN6M.webm,77,non-word,1651809485938,1651809494992,9054,false,false;practice,1,3,F2H-CATCH.webm,66,,1651809500007,1651809504126,4119,true,true;practice,2,4,F4M.webm,88,word,1651809507047,1651809511573,4526,false,false;practice,3,0,F40H.webm,88,word,1651809513930,1651809516390,2460,false,false;practice,4,5,FN1H.webm,77,non-word,1651809520050,1651809523478,3428,false,false;practice,5,1,FN86H-CATCH.webm,66,,1651809526484,1651809530038,3554,true,true;",
461,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"practice,0,0,F40H.webm,88,word,1651858503146,1651858509828,6682,false,false;practice,1,2,FN6M.webm,77,non-word,1651858516031,1651858520276,4245,false,false;practice,2,4,F4M.webm,88,word,1651858522200,1651858526339,4139,false,false;practice,3,3,F2H-CATCH.webm,66,,1651858528589,1651858533800,5211,true,true;practice,4,1,FN86H-CATCH.webm,66,,1651858536258,1651858538576,2318,true,true;practice,5,5,FN1H.webm,77,non-word,1651858541417,1651858545663,4246,false,false;",
282,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"practice,0,3,F2H-CATCH.webm,88,word,1651793996754,1651794001968,5214,true,false;practice,1,5,FN1H.webm,77,non-word,1651794014911,1651794019955,5044,false,false;practice,2,0,F40H.webm,88,word,1651794024615,1651794027947,3332,false,false;practice,3,2,FN6M.webm,77,non-word,1651794031029,1651794034759,3730,false,false;practice,4,4,F4M.webm,77,non-word,1651794037939,1651794040962,3023,false,false;practice,5,1,FN86H-CATCH.webm,66,,1651794048459,1651794051643,3184,true,true;",
313,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"practice,0,2,FN6M.webm,77,non-word,1651794987754,1651794994644,6890,false,false;practice,1,0,F40H.webm,88,word,1651794997979,1651795001052,3073,false,false;practice,2,1,FN86H-CATCH.webm,66,,1651795003787,1651795007628,3841,true,true;practice,3,4,F4M.webm,88,word,1651795011182,1651795014083,2901,false,false;practice,4,3,F2H-CATCH.webm,66,,1651795016432,1651795019396,2964,true,true;practice,5,5,FN1H.webm,77,non-word,1651795021629,1651795024764,3135,false,false;",
153,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"practice,0,2,FN6M.webm,77,non-word,1651193260276,1651193264999,4723,false,false;practice,1,0,F40H.webm,88,word,1651193270079,1651193275480,5401,false,false;practice,2,4,F4M.webm,88,word,1651193278317,1651193281945,3628,false,false;practice,3,1,FN86H-CATCH.webm,88,word,1651193284832,1651193288481,3649,true,false;practice,4,5,FN1H.webm,77,non-word,1651193300237,1651193305213,4976,false,false;practice,5,3,F2H-CATCH.webm,66,,1651193308764,1651193312763,3999,true,true;",
104,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"practice,0,1,FN86H-CATCH.webm,66,,1651189131365,1651189135626,4261,true,true;practice,1,4,F4M.webm,88,word,1651189138763,1651189142857,4094,false,false;practice,2,2,FN6M.webm,77,non-word,1651189145608,1651189149073,3465,false,false;practice,3,5,FN1H.webm,77,non-word,1651189151696,1651189154665,2969,false,false;practice,4,0,F40H.webm,88,word,1651189156133,1651189158921,2788,false,false;practice,5,3,F2H-CATCH.webm,66,,1651189161426,1651189163721,2295,true,true;",
78,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"practice,0,2,FN6M.webm,77,non-word,1649366320556,1649366325521,4965,false,false;practice,1,5,FN1H.webm,77,non-word,1649366328791,1649366331340,2549,false,false;practice,2,4,F4M.webm,88,word,1649366334419,1649366338666,4247,false,false;practice,3,0,F40H.webm,88,word,1649366340831,1649366342900,2069,false,false;practice,4,1,FN86H-CATCH.webm,66,,1649366345228,1649366347841,2613,true,true;practice,5,3,F2H-CATCH.webm,66,,1649366350394,1649366353159,2765,true,true;",
254,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"practice,0,2,FN6M.webm,77,non-word,1651793959762,1651793966103,6341,false,false;practice,1,0,F40H.webm,88,word,1651793970630,1651793974998,4368,false,false;practice,2,1,FN86H-CATCH.webm,66,,1651793977504,1651793981134,3630,true,true;practice,3,4,F4M.webm,88,word,1651793984410,1651793988773,4363,false,false;practice,4,5,FN1H.webm,77,non-word,1651793991427,1651793996345,4918,false,false;practice,5,3,F2H-CATCH.webm,66,,1651793998086,1651794001280,3194,true,true;",
93,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"practice,0,4,F4M.webm,88,word,1651188711312,1651188716603,5291,false,false;practice,1,2,FN6M.webm,77,non-word,1651188720768,1651188725233,4465,false,false;practice,2,0,F40H.webm,88,word,1651188727849,1651188731044,3195,false,false;practice,3,5,FN1H.webm,77,non-word,1651188733118,1651188742654,9536,false,false;practice,4,3,F2H-CATCH.webm,88,word,1651188744801,1651188748258,3457,true,false;practice,5,1,FN86H-CATCH.webm,66,,1651188760286,1651188762668,2382,true,true;",
464,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"practice,0,3,F2H-CATCH.webm,88,word,1651858598825,1651858603199,4374,true,false;practice,1,1,FN86H-CATCH.webm,77,non-word,1651858606705,1651858610733,4028,true,false;practice,2,5,FN1H.webm,77,non-word,1651858626312,1651858629267,2955,false,false;practice,3,0,F40H.webm,77,non-word,1651858632025,1651858635320,3295,false,false;practice,4,2,FN6M.webm,77,non-word,1651858641669,1651858647870,6201,false,false;practice,5,4,F4M.webm,88,word,1651858650735,1651858652750,2015,false,false;",
267,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"practice,0,2,FN6M.webm,77,non-word,1651794991488,1651794994699,3211,false,false;practice,1,0,F40H.webm,88,word,1651794999075,1651795001739,2664,false,false;practice,2,4,F4M.webm,88,word,1651795004650,1651795007243,2593,false,false;practice,3,5,FN1H.webm,77,non-word,1651795010319,1651795013019,2700,false,false;practice,4,3,F2H-CATCH.webm,88,word,1651795015042,1651795017683,2641,true,false;practice,5,1,FN86H-CATCH.webm,66,,1651795026723,1651795028667,1944,true,true;",
298,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"practice,0,2,FN6M.webm,88,word,1651794015487,1651794020092,4605,false,false;practice,1,4,F4M.webm,88,word,1651794025989,1651794028065,2076,false,false;practice,2,3,F2H-CATCH.webm,88,word,1651794031122,1651794033651,2529,true,false;practice,3,5,FN1H.webm,77,non-word,1651794048063,1651794050335,2272,false,false;practice,4,1,FN86H-CATCH.webm,66,,1651794054267,1651794056457,2190,true,true;practice,5,0,F40H.webm,77,non-word,1651794060254,1651794062695,2441,false,false;",
