workerid,proliferate.condition,preloadStimuli,error
386,condition=H&label=SH&respKeyExp=0&respKeyTest=1,T,
461,condition=H&label=SH&respKeyExp=0&respKeyTest=1,T,
282,condition=H&label=SH&respKeyExp=0&respKeyTest=1,T,
313,condition=H&label=SH&respKeyExp=0&respKeyTest=1,T,
153,condition=H&label=SH&respKeyExp=0&respKeyTest=1,T,
104,condition=H&label=SH&respKeyExp=0&respKeyTest=1,T,
78,condition=H&label=SH&respKeyExp=0&respKeyTest=1,T,
254,condition=H&label=SH&respKeyExp=0&respKeyTest=1,T,
93,condition=H&label=SH&respKeyExp=0&respKeyTest=1,T,
464,condition=H&label=SH&respKeyExp=0&respKeyTest=1,T,
267,condition=H&label=SH&respKeyExp=0&respKeyTest=1,T,
298,condition=H&label=SH&respKeyExp=0&respKeyTest=1,T,
88,condition=H&label=SH&respKeyExp=0&respKeyTest=1,T,
144,condition=H&label=SH&respKeyExp=0&respKeyTest=1,T,
117,condition=H&label=SH&respKeyExp=0&respKeyTest=1,T,
311,condition=H&label=SH&respKeyExp=0&respKeyTest=1,T,
393,condition=H&label=SH&respKeyExp=0&respKeyTest=1,T,
79,condition=H&label=SH&respKeyExp=1&respKeyTest=1,T,
309,condition=H&label=SH&respKeyExp=1&respKeyTest=1,T,
281,condition=H&label=SH&respKeyExp=1&respKeyTest=1,T,
255,condition=H&label=SH&respKeyExp=1&respKeyTest=1,T,
116,condition=H&label=SH&respKeyExp=1&respKeyTest=1,T,
112,condition=H&label=SH&respKeyExp=1&respKeyTest=1,T,
105,condition=H&label=SH&respKeyExp=1&respKeyTest=1,T,
452,condition=H&label=SH&respKeyExp=1&respKeyTest=1,T,
249,condition=H&label=SH&respKeyExp=1&respKeyTest=1,T,
406,condition=H&label=SH&respKeyExp=1&respKeyTest=1,T,
297,condition=H&label=SH&respKeyExp=1&respKeyTest=1,T,
156,condition=H&label=SH&respKeyExp=1&respKeyTest=1,T,
124,condition=H&label=SH&respKeyExp=1&respKeyTest=1,T,
312,condition=H&label=SH&respKeyExp=1&respKeyTest=1,T,
392,condition=H&label=SH&respKeyExp=1&respKeyTest=1,T,
81,condition=H&label=SH&respKeyExp=1&respKeyTest=1,T,
280,condition=M&label=SH&respKeyExp=1&respKeyTest=0,T,
220,condition=M&label=SH&respKeyExp=1&respKeyTest=0,T,
444,condition=M&label=SH&respKeyExp=1&respKeyTest=0,T,
242,condition=M&label=SH&respKeyExp=1&respKeyTest=0,T,
