workerid,proliferate.condition,respKeyTest,error
386,condition=H&label=SH&respKeyExp=0&respKeyTest=1,1,
461,condition=H&label=SH&respKeyExp=0&respKeyTest=1,1,
282,condition=H&label=SH&respKeyExp=0&respKeyTest=1,1,
313,condition=H&label=SH&respKeyExp=0&respKeyTest=1,1,
153,condition=H&label=SH&respKeyExp=0&respKeyTest=1,1,
104,condition=H&label=SH&respKeyExp=0&respKeyTest=1,1,
78,condition=H&label=SH&respKeyExp=0&respKeyTest=1,1,
254,condition=H&label=SH&respKeyExp=0&respKeyTest=1,1,
93,condition=H&label=SH&respKeyExp=0&respKeyTest=1,1,
464,condition=H&label=SH&respKeyExp=0&respKeyTest=1,1,
267,condition=H&label=SH&respKeyExp=0&respKeyTest=1,1,
298,condition=H&label=SH&respKeyExp=0&respKeyTest=1,1,
88,condition=H&label=SH&respKeyExp=0&respKeyTest=1,1,
144,condition=H&label=SH&respKeyExp=0&respKeyTest=1,1,
117,condition=H&label=SH&respKeyExp=0&respKeyTest=1,1,
311,condition=H&label=SH&respKeyExp=0&respKeyTest=1,1,
393,condition=H&label=SH&respKeyExp=0&respKeyTest=1,1,
79,condition=H&label=SH&respKeyExp=1&respKeyTest=1,1,
309,condition=H&label=SH&respKeyExp=1&respKeyTest=1,1,
281,condition=H&label=SH&respKeyExp=1&respKeyTest=1,1,
255,condition=H&label=SH&respKeyExp=1&respKeyTest=1,1,
116,condition=H&label=SH&respKeyExp=1&respKeyTest=1,1,
112,condition=H&label=SH&respKeyExp=1&respKeyTest=1,1,
105,condition=H&label=SH&respKeyExp=1&respKeyTest=1,1,
452,condition=H&label=SH&respKeyExp=1&respKeyTest=1,1,
249,condition=H&label=SH&respKeyExp=1&respKeyTest=1,1,
406,condition=H&label=SH&respKeyExp=1&respKeyTest=1,1,
297,condition=H&label=SH&respKeyExp=1&respKeyTest=1,1,
156,condition=H&label=SH&respKeyExp=1&respKeyTest=1,1,
124,condition=H&label=SH&respKeyExp=1&respKeyTest=1,1,
312,condition=H&label=SH&respKeyExp=1&respKeyTest=1,1,
392,condition=H&label=SH&respKeyExp=1&respKeyTest=1,1,
81,condition=H&label=SH&respKeyExp=1&respKeyTest=1,1,
280,condition=M&label=SH&respKeyExp=1&respKeyTest=0,0,
220,condition=M&label=SH&respKeyExp=1&respKeyTest=0,0,
444,condition=M&label=SH&respKeyExp=1&respKeyTest=0,0,
242,condition=M&label=SH&respKeyExp=1&respKeyTest=0,0,
180,condition=M&label=SH&respKeyExp=1&respKeyTest=0,0,
200,condition=M&label=SH&respKeyExp=1&respKeyTest=0,0,
173,condition=M&label=SH&respKeyExp=1&respKeyTest=0,0,
351,condition=M&label=SH&respKeyExp=1&respKeyTest=0,0,
253,condition=M&label=SH&respKeyExp=1&respKeyTest=0,0,
162,condition=M&label=SH&respKeyExp=1&respKeyTest=0,0,
265,condition=M&label=SH&respKeyExp=1&respKeyTest=0,0,
331,condition=M&label=SH&respKeyExp=1&respKeyTest=0,0,
243,condition=M&label=SH&respKeyExp=1&respKeyTest=0,0,
326,condition=M&label=SH&respKeyExp=1&respKeyTest=0,0,
450,condition=M&label=SH&respKeyExp=1&respKeyTest=0,0,
370,condition=M&label=SH&respKeyExp=1&respKeyTest=0,0,
345,condition=H&label=S&respKeyExp=1&respKeyTest=1,1,
