workerid,proliferate.condition,rsrb.ethnicity,error
386,condition=H&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
461,condition=H&label=SH&respKeyExp=0&respKeyTest=1,NA,
282,condition=H&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
313,condition=H&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
153,condition=H&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
104,condition=H&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
78,condition=H&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
254,condition=H&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
93,condition=H&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
464,condition=H&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
267,condition=H&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
298,condition=H&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
88,condition=H&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
144,condition=H&label=SH&respKeyExp=0&respKeyTest=1,Hisp,
117,condition=H&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
311,condition=H&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
393,condition=H&label=SH&respKeyExp=0&respKeyTest=1,NonHisp,
79,condition=H&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
309,condition=H&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
281,condition=H&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
255,condition=H&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
116,condition=H&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
112,condition=H&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
105,condition=H&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
452,condition=H&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
249,condition=H&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
406,condition=H&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
297,condition=H&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
156,condition=H&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
124,condition=H&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
312,condition=H&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
392,condition=H&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
81,condition=H&label=SH&respKeyExp=1&respKeyTest=1,NonHisp,
280,condition=M&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
220,condition=M&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
444,condition=M&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
242,condition=M&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
180,condition=M&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
200,condition=M&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
173,condition=M&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
351,condition=M&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
253,condition=M&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
162,condition=M&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
265,condition=M&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
331,condition=M&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
243,condition=M&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
326,condition=M&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
450,condition=M&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
370,condition=M&label=SH&respKeyExp=1&respKeyTest=0,NonHisp,
345,condition=H&label=S&respKeyExp=1&respKeyTest=1,Hisp,
148,condition=H&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
264,condition=H&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
279,condition=H&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
150,condition=H&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
385,condition=H&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
84,condition=H&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
71,condition=H&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
135,condition=H&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
140,condition=H&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
143,condition=H&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
295,condition=H&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
435,condition=H&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
368,condition=H&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
96,condition=H&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
426,condition=H&label=S&respKeyExp=1&respKeyTest=1,NonHisp,
448,condition=H&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
294,condition=H&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
366,condition=H&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
278,condition=H&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
70,condition=H&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
126,condition=H&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
357,condition=H&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
127,condition=H&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
121,condition=H&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
134,condition=H&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
108,condition=H&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
138,condition=H&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
115,condition=H&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
403,condition=H&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
424,condition=H&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
119,condition=H&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
308,condition=M&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
163,condition=M&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
402,condition=M&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
391,condition=M&label=S&respKeyExp=1&respKeyTest=0,Hisp,
293,condition=M&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
335,condition=M&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
226,condition=M&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
199,condition=M&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
160,condition=M&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
319,condition=M&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
315,condition=M&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
384,condition=M&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
211,condition=M&label=S&respKeyExp=1&respKeyTest=0,NonHisp,
