workerid,proliferate.condition,rsrb.protocol,error
386,condition=H&label=SH&respKeyExp=0&respKeyTest=1,RSRB00045955,
461,condition=H&label=SH&respKeyExp=0&respKeyTest=1,RSRB00045955,
282,condition=H&label=SH&respKeyExp=0&respKeyTest=1,RSRB00045955,
313,condition=H&label=SH&respKeyExp=0&respKeyTest=1,RSRB00045955,
153,condition=H&label=SH&respKeyExp=0&respKeyTest=1,RSRB00045955,
104,condition=H&label=SH&respKeyExp=0&respKeyTest=1,RSRB00045955,
78,condition=H&label=SH&respKeyExp=0&respKeyTest=1,RSRB00045955,
254,condition=H&label=SH&respKeyExp=0&respKeyTest=1,RSRB00045955,
93,condition=H&label=SH&respKeyExp=0&respKeyTest=1,RSRB00045955,
464,condition=H&label=SH&respKeyExp=0&respKeyTest=1,RSRB00045955,
267,condition=H&label=SH&respKeyExp=0&respKeyTest=1,RSRB00045955,
298,condition=H&label=SH&respKeyExp=0&respKeyTest=1,RSRB00045955,
88,condition=H&label=SH&respKeyExp=0&respKeyTest=1,RSRB00045955,
144,condition=H&label=SH&respKeyExp=0&respKeyTest=1,RSRB00045955,
117,condition=H&label=SH&respKeyExp=0&respKeyTest=1,RSRB00045955,
311,condition=H&label=SH&respKeyExp=0&respKeyTest=1,RSRB00045955,
393,condition=H&label=SH&respKeyExp=0&respKeyTest=1,RSRB00045955,
79,condition=H&label=SH&respKeyExp=1&respKeyTest=1,RSRB00045955,
309,condition=H&label=SH&respKeyExp=1&respKeyTest=1,RSRB00045955,
281,condition=H&label=SH&respKeyExp=1&respKeyTest=1,RSRB00045955,
255,condition=H&label=SH&respKeyExp=1&respKeyTest=1,RSRB00045955,
116,condition=H&label=SH&respKeyExp=1&respKeyTest=1,RSRB00045955,
112,condition=H&label=SH&respKeyExp=1&respKeyTest=1,RSRB00045955,
105,condition=H&label=SH&respKeyExp=1&respKeyTest=1,RSRB00045955,
452,condition=H&label=SH&respKeyExp=1&respKeyTest=1,RSRB00045955,
249,condition=H&label=SH&respKeyExp=1&respKeyTest=1,RSRB00045955,
406,condition=H&label=SH&respKeyExp=1&respKeyTest=1,RSRB00045955,
297,condition=H&label=SH&respKeyExp=1&respKeyTest=1,RSRB00045955,
156,condition=H&label=SH&respKeyExp=1&respKeyTest=1,RSRB00045955,
124,condition=H&label=SH&respKeyExp=1&respKeyTest=1,RSRB00045955,
312,condition=H&label=SH&respKeyExp=1&respKeyTest=1,RSRB00045955,
392,condition=H&label=SH&respKeyExp=1&respKeyTest=1,RSRB00045955,
81,condition=H&label=SH&respKeyExp=1&respKeyTest=1,RSRB00045955,
280,condition=M&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
220,condition=M&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
444,condition=M&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
242,condition=M&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
180,condition=M&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
200,condition=M&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
173,condition=M&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
351,condition=M&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
253,condition=M&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
162,condition=M&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
265,condition=M&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
331,condition=M&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
243,condition=M&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
326,condition=M&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
450,condition=M&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
370,condition=M&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
345,condition=H&label=S&respKeyExp=1&respKeyTest=1,RSRB00045955,
148,condition=H&label=S&respKeyExp=1&respKeyTest=1,RSRB00045955,
264,condition=H&label=S&respKeyExp=1&respKeyTest=1,RSRB00045955,
279,condition=H&label=S&respKeyExp=1&respKeyTest=1,RSRB00045955,
150,condition=H&label=S&respKeyExp=1&respKeyTest=1,RSRB00045955,
385,condition=H&label=S&respKeyExp=1&respKeyTest=1,RSRB00045955,
84,condition=H&label=S&respKeyExp=1&respKeyTest=1,RSRB00045955,
71,condition=H&label=S&respKeyExp=1&respKeyTest=1,RSRB00045955,
135,condition=H&label=S&respKeyExp=1&respKeyTest=1,RSRB00045955,
140,condition=H&label=S&respKeyExp=1&respKeyTest=1,RSRB00045955,
143,condition=H&label=S&respKeyExp=1&respKeyTest=1,RSRB00045955,
295,condition=H&label=S&respKeyExp=1&respKeyTest=1,RSRB00045955,
435,condition=H&label=S&respKeyExp=1&respKeyTest=1,RSRB00045955,
368,condition=H&label=S&respKeyExp=1&respKeyTest=1,RSRB00045955,
96,condition=H&label=S&respKeyExp=1&respKeyTest=1,RSRB00045955,
426,condition=H&label=S&respKeyExp=1&respKeyTest=1,RSRB00045955,
448,condition=H&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
294,condition=H&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
366,condition=H&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
278,condition=H&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
70,condition=H&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
126,condition=H&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
357,condition=H&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
127,condition=H&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
121,condition=H&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
134,condition=H&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
108,condition=H&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
138,condition=H&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
115,condition=H&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
403,condition=H&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
424,condition=H&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
119,condition=H&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
308,condition=M&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
163,condition=M&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
402,condition=M&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
391,condition=M&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
293,condition=M&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
335,condition=M&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
226,condition=M&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
199,condition=M&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
160,condition=M&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
319,condition=M&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
315,condition=M&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
384,condition=M&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
211,condition=M&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
222,condition=M&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
193,condition=M&label=S&respKeyExp=1&respKeyTest=0,RSRB00045955,
328,condition=H&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
457,condition=H&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
90,condition=H&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
86,condition=H&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
364,condition=H&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
142,condition=H&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
157,condition=H&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
98,condition=H&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
137,condition=H&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
344,condition=H&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
276,condition=H&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
400,condition=H&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
149,condition=H&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
103,condition=H&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
74,condition=H&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
459,condition=H&label=SH&respKeyExp=1&respKeyTest=0,RSRB00045955,
204,condition=M&label=S&respKeyExp=0&respKeyTest=0,RSRB00045955,
363,condition=M&label=S&respKeyExp=0&respKeyTest=0,RSRB00045955,
379,condition=M&label=S&respKeyExp=0&respKeyTest=0,RSRB00045955,
221,condition=M&label=S&respKeyExp=0&respKeyTest=0,RSRB00045955,
166,condition=M&label=S&respKeyExp=0&respKeyTest=0,RSRB00045955,
291,condition=M&label=S&respKeyExp=0&respKeyTest=0,RSRB00045955,
