workerid,proliferate.condition,rsrb.sex,error
386,condition=H&label=SH&respKeyExp=0&respKeyTest=1,Female,
461,condition=H&label=SH&respKeyExp=0&respKeyTest=1,NA,
282,condition=H&label=SH&respKeyExp=0&respKeyTest=1,Male,
313,condition=H&label=SH&respKeyExp=0&respKeyTest=1,Female,
153,condition=H&label=SH&respKeyExp=0&respKeyTest=1,Male,
104,condition=H&label=SH&respKeyExp=0&respKeyTest=1,Female,
78,condition=H&label=SH&respKeyExp=0&respKeyTest=1,Male,
254,condition=H&label=SH&respKeyExp=0&respKeyTest=1,Male,
93,condition=H&label=SH&respKeyExp=0&respKeyTest=1,Female,
464,condition=H&label=SH&respKeyExp=0&respKeyTest=1,Female,
267,condition=H&label=SH&respKeyExp=0&respKeyTest=1,Male,
298,condition=H&label=SH&respKeyExp=0&respKeyTest=1,Male,
88,condition=H&label=SH&respKeyExp=0&respKeyTest=1,Female,
144,condition=H&label=SH&respKeyExp=0&respKeyTest=1,Male,
117,condition=H&label=SH&respKeyExp=0&respKeyTest=1,Female,
311,condition=H&label=SH&respKeyExp=0&respKeyTest=1,Male,
393,condition=H&label=SH&respKeyExp=0&respKeyTest=1,Female,
79,condition=H&label=SH&respKeyExp=1&respKeyTest=1,Male,
309,condition=H&label=SH&respKeyExp=1&respKeyTest=1,Male,
281,condition=H&label=SH&respKeyExp=1&respKeyTest=1,Male,
255,condition=H&label=SH&respKeyExp=1&respKeyTest=1,Male,
116,condition=H&label=SH&respKeyExp=1&respKeyTest=1,Male,
112,condition=H&label=SH&respKeyExp=1&respKeyTest=1,Female,
105,condition=H&label=SH&respKeyExp=1&respKeyTest=1,Female,
452,condition=H&label=SH&respKeyExp=1&respKeyTest=1,Male,
249,condition=H&label=SH&respKeyExp=1&respKeyTest=1,Male,
406,condition=H&label=SH&respKeyExp=1&respKeyTest=1,Female,
297,condition=H&label=SH&respKeyExp=1&respKeyTest=1,Male,
156,condition=H&label=SH&respKeyExp=1&respKeyTest=1,Male,
124,condition=H&label=SH&respKeyExp=1&respKeyTest=1,Female,
312,condition=H&label=SH&respKeyExp=1&respKeyTest=1,Male,
392,condition=H&label=SH&respKeyExp=1&respKeyTest=1,Female,
81,condition=H&label=SH&respKeyExp=1&respKeyTest=1,Female,
280,condition=M&label=SH&respKeyExp=1&respKeyTest=0,Male,
220,condition=M&label=SH&respKeyExp=1&respKeyTest=0,Male,
444,condition=M&label=SH&respKeyExp=1&respKeyTest=0,Male,
242,condition=M&label=SH&respKeyExp=1&respKeyTest=0,Male,
180,condition=M&label=SH&respKeyExp=1&respKeyTest=0,Female,
200,condition=M&label=SH&respKeyExp=1&respKeyTest=0,Female,
173,condition=M&label=SH&respKeyExp=1&respKeyTest=0,Female,
351,condition=M&label=SH&respKeyExp=1&respKeyTest=0,Female,
253,condition=M&label=SH&respKeyExp=1&respKeyTest=0,Male,
162,condition=M&label=SH&respKeyExp=1&respKeyTest=0,Female,
265,condition=M&label=SH&respKeyExp=1&respKeyTest=0,Male,
331,condition=M&label=SH&respKeyExp=1&respKeyTest=0,Female,
243,condition=M&label=SH&respKeyExp=1&respKeyTest=0,Male,
326,condition=M&label=SH&respKeyExp=1&respKeyTest=0,Female,
450,condition=M&label=SH&respKeyExp=1&respKeyTest=0,Male,
370,condition=M&label=SH&respKeyExp=1&respKeyTest=0,Female,
345,condition=H&label=S&respKeyExp=1&respKeyTest=1,Female,
148,condition=H&label=S&respKeyExp=1&respKeyTest=1,Male,
264,condition=H&label=S&respKeyExp=1&respKeyTest=1,Male,
279,condition=H&label=S&respKeyExp=1&respKeyTest=1,Male,
150,condition=H&label=S&respKeyExp=1&respKeyTest=1,Male,
385,condition=H&label=S&respKeyExp=1&respKeyTest=1,Female,
84,condition=H&label=S&respKeyExp=1&respKeyTest=1,Female,
71,condition=H&label=S&respKeyExp=1&respKeyTest=1,Male,
135,condition=H&label=S&respKeyExp=1&respKeyTest=1,Female,
140,condition=H&label=S&respKeyExp=1&respKeyTest=1,Male,
143,condition=H&label=S&respKeyExp=1&respKeyTest=1,Male,
295,condition=H&label=S&respKeyExp=1&respKeyTest=1,Male,
435,condition=H&label=S&respKeyExp=1&respKeyTest=1,Male,
368,condition=H&label=S&respKeyExp=1&respKeyTest=1,Female,
96,condition=H&label=S&respKeyExp=1&respKeyTest=1,Male,
426,condition=H&label=S&respKeyExp=1&respKeyTest=1,Male,
448,condition=H&label=S&respKeyExp=1&respKeyTest=0,Male,
294,condition=H&label=S&respKeyExp=1&respKeyTest=0,Male,
366,condition=H&label=S&respKeyExp=1&respKeyTest=0,Female,
278,condition=H&label=S&respKeyExp=1&respKeyTest=0,Male,
70,condition=H&label=S&respKeyExp=1&respKeyTest=0,Female,
126,condition=H&label=S&respKeyExp=1&respKeyTest=0,Male,
357,condition=H&label=S&respKeyExp=1&respKeyTest=0,Female,
127,condition=H&label=S&respKeyExp=1&respKeyTest=0,Male,
121,condition=H&label=S&respKeyExp=1&respKeyTest=0,Male,
134,condition=H&label=S&respKeyExp=1&respKeyTest=0,Female,
108,condition=H&label=S&respKeyExp=1&respKeyTest=0,Female,
138,condition=H&label=S&respKeyExp=1&respKeyTest=0,Male,
115,condition=H&label=S&respKeyExp=1&respKeyTest=0,Male,
403,condition=H&label=S&respKeyExp=1&respKeyTest=0,Female,
424,condition=H&label=S&respKeyExp=1&respKeyTest=0,Female,
119,condition=H&label=S&respKeyExp=1&respKeyTest=0,Female,
308,condition=M&label=S&respKeyExp=1&respKeyTest=0,Male,
163,condition=M&label=S&respKeyExp=1&respKeyTest=0,Female,
402,condition=M&label=S&respKeyExp=1&respKeyTest=0,Female,
391,condition=M&label=S&respKeyExp=1&respKeyTest=0,Female,
293,condition=M&label=S&respKeyExp=1&respKeyTest=0,Male,
335,condition=M&label=S&respKeyExp=1&respKeyTest=0,Female,
226,condition=M&label=S&respKeyExp=1&respKeyTest=0,Male,
199,condition=M&label=S&respKeyExp=1&respKeyTest=0,Female,
160,condition=M&label=S&respKeyExp=1&respKeyTest=0,Female,
319,condition=M&label=S&respKeyExp=1&respKeyTest=0,Male,
315,condition=M&label=S&respKeyExp=1&respKeyTest=0,Female,
384,condition=M&label=S&respKeyExp=1&respKeyTest=0,Female,
211,condition=M&label=S&respKeyExp=1&respKeyTest=0,Female,
222,condition=M&label=S&respKeyExp=1&respKeyTest=0,Male,
193,condition=M&label=S&respKeyExp=1&respKeyTest=0,Female,
328,condition=H&label=SH&respKeyExp=1&respKeyTest=0,Female,
457,condition=H&label=SH&respKeyExp=1&respKeyTest=0,Female,
90,condition=H&label=SH&respKeyExp=1&respKeyTest=0,Female,
86,condition=H&label=SH&respKeyExp=1&respKeyTest=0,Female,
364,condition=H&label=SH&respKeyExp=1&respKeyTest=0,Female,
142,condition=H&label=SH&respKeyExp=1&respKeyTest=0,Female,
157,condition=H&label=SH&respKeyExp=1&respKeyTest=0,Male,
98,condition=H&label=SH&respKeyExp=1&respKeyTest=0,Female,
137,condition=H&label=SH&respKeyExp=1&respKeyTest=0,Female,
344,condition=H&label=SH&respKeyExp=1&respKeyTest=0,Female,
276,condition=H&label=SH&respKeyExp=1&respKeyTest=0,Male,
400,condition=H&label=SH&respKeyExp=1&respKeyTest=0,Female,
149,condition=H&label=SH&respKeyExp=1&respKeyTest=0,Male,
103,condition=H&label=SH&respKeyExp=1&respKeyTest=0,Female,
74,condition=H&label=SH&respKeyExp=1&respKeyTest=0,Male,
459,condition=H&label=SH&respKeyExp=1&respKeyTest=0,Female,
204,condition=M&label=S&respKeyExp=0&respKeyTest=0,Female,
363,condition=M&label=S&respKeyExp=0&respKeyTest=0,Female,
379,condition=M&label=S&respKeyExp=0&respKeyTest=0,Female,
221,condition=M&label=S&respKeyExp=0&respKeyTest=0,Male,
166,condition=M&label=S&respKeyExp=0&respKeyTest=0,Male,
291,condition=M&label=S&respKeyExp=0&respKeyTest=0,Male,
275,condition=M&label=S&respKeyExp=0&respKeyTest=0,Male,
443,condition=M&label=S&respKeyExp=0&respKeyTest=0,Female,
231,condition=M&label=S&respKeyExp=0&respKeyTest=0,Male,
262,condition=M&label=S&respKeyExp=0&respKeyTest=0,Male,
198,condition=M&label=S&respKeyExp=0&respKeyTest=0,Female,
202,condition=M&label=S&respKeyExp=0&respKeyTest=0,Male,
172,condition=M&label=S&respKeyExp=0&respKeyTest=0,Male,
232,condition=M&label=S&respKeyExp=0&respKeyTest=0,Male,
399,condition=M&label=S&respKeyExp=0&respKeyTest=0,Female,
383,condition=H&label=S&respKeyExp=0&respKeyTest=1,NA,
306,condition=H&label=S&respKeyExp=0&respKeyTest=1,Male,
73,condition=H&label=S&respKeyExp=0&respKeyTest=1,Male,
454,condition=H&label=S&respKeyExp=0&respKeyTest=1,Male,
421,condition=H&label=S&respKeyExp=0&respKeyTest=1,Male,
118,condition=H&label=S&respKeyExp=0&respKeyTest=1,Male,
89,condition=H&label=S&respKeyExp=0&respKeyTest=1,Female,
342,condition=H&label=S&respKeyExp=0&respKeyTest=1,Female,
290,condition=H&label=S&respKeyExp=0&respKeyTest=1,Male,
274,condition=H&label=S&respKeyExp=0&respKeyTest=1,Male,
94,condition=H&label=S&respKeyExp=0&respKeyTest=1,Female,
404,condition=H&label=S&respKeyExp=0&respKeyTest=1,Female,
107,condition=H&label=S&respKeyExp=0&respKeyTest=1,Male,
97,condition=H&label=S&respKeyExp=0&respKeyTest=1,Male,
155,condition=H&label=S&respKeyExp=0&respKeyTest=1,Male,
147,condition=H&label=S&respKeyExp=0&respKeyTest=1,Male,
187,condition=M&label=S&respKeyExp=0&respKeyTest=1,Male,
179,condition=M&label=S&respKeyExp=0&respKeyTest=1,Female,
420,condition=M&label=S&respKeyExp=0&respKeyTest=1,Male,
341,condition=M&label=S&respKeyExp=0&respKeyTest=1,Female,
260,condition=M&label=S&respKeyExp=0&respKeyTest=1,Male,
182,condition=M&label=S&respKeyExp=0&respKeyTest=1,Female,
382,condition=M&label=S&respKeyExp=0&respKeyTest=1,Female,
376,condition=M&label=S&respKeyExp=0&respKeyTest=1,Female,
