workerid,proliferate.condition,sex,error
386,condition=H&label=SH&respKeyExp=0&respKeyTest=1,woman,
461,condition=H&label=SH&respKeyExp=0&respKeyTest=1,woman,
282,condition=H&label=SH&respKeyExp=0&respKeyTest=1,woman,
313,condition=H&label=SH&respKeyExp=0&respKeyTest=1,woman,
153,condition=H&label=SH&respKeyExp=0&respKeyTest=1,woman,
104,condition=H&label=SH&respKeyExp=0&respKeyTest=1,woman,
78,condition=H&label=SH&respKeyExp=0&respKeyTest=1,woman,
254,condition=H&label=SH&respKeyExp=0&respKeyTest=1,woman,
93,condition=H&label=SH&respKeyExp=0&respKeyTest=1,woman,
464,condition=H&label=SH&respKeyExp=0&respKeyTest=1,woman,
267,condition=H&label=SH&respKeyExp=0&respKeyTest=1,woman,
298,condition=H&label=SH&respKeyExp=0&respKeyTest=1,woman,
88,condition=H&label=SH&respKeyExp=0&respKeyTest=1,woman,
144,condition=H&label=SH&respKeyExp=0&respKeyTest=1,woman,
117,condition=H&label=SH&respKeyExp=0&respKeyTest=1,woman,
311,condition=H&label=SH&respKeyExp=0&respKeyTest=1,woman,
393,condition=H&label=SH&respKeyExp=0&respKeyTest=1,woman,
79,condition=H&label=SH&respKeyExp=1&respKeyTest=1,woman,
309,condition=H&label=SH&respKeyExp=1&respKeyTest=1,woman,
281,condition=H&label=SH&respKeyExp=1&respKeyTest=1,woman,
255,condition=H&label=SH&respKeyExp=1&respKeyTest=1,woman,
116,condition=H&label=SH&respKeyExp=1&respKeyTest=1,woman,
112,condition=H&label=SH&respKeyExp=1&respKeyTest=1,woman,
105,condition=H&label=SH&respKeyExp=1&respKeyTest=1,woman,
452,condition=H&label=SH&respKeyExp=1&respKeyTest=1,woman,
249,condition=H&label=SH&respKeyExp=1&respKeyTest=1,woman,
406,condition=H&label=SH&respKeyExp=1&respKeyTest=1,woman,
297,condition=H&label=SH&respKeyExp=1&respKeyTest=1,woman,
156,condition=H&label=SH&respKeyExp=1&respKeyTest=1,woman,
124,condition=H&label=SH&respKeyExp=1&respKeyTest=1,woman,
312,condition=H&label=SH&respKeyExp=1&respKeyTest=1,woman,
392,condition=H&label=SH&respKeyExp=1&respKeyTest=1,woman,
81,condition=H&label=SH&respKeyExp=1&respKeyTest=1,woman,
280,condition=M&label=SH&respKeyExp=1&respKeyTest=0,woman,
220,condition=M&label=SH&respKeyExp=1&respKeyTest=0,woman,
444,condition=M&label=SH&respKeyExp=1&respKeyTest=0,woman,
242,condition=M&label=SH&respKeyExp=1&respKeyTest=0,woman,
180,condition=M&label=SH&respKeyExp=1&respKeyTest=0,woman,
200,condition=M&label=SH&respKeyExp=1&respKeyTest=0,woman,
173,condition=M&label=SH&respKeyExp=1&respKeyTest=0,woman,
351,condition=M&label=SH&respKeyExp=1&respKeyTest=0,woman,
253,condition=M&label=SH&respKeyExp=1&respKeyTest=0,woman,
162,condition=M&label=SH&respKeyExp=1&respKeyTest=0,woman,
265,condition=M&label=SH&respKeyExp=1&respKeyTest=0,woman,
331,condition=M&label=SH&respKeyExp=1&respKeyTest=0,woman,
243,condition=M&label=SH&respKeyExp=1&respKeyTest=0,woman,
326,condition=M&label=SH&respKeyExp=1&respKeyTest=0,woman,
450,condition=M&label=SH&respKeyExp=1&respKeyTest=0,woman,
370,condition=M&label=SH&respKeyExp=1&respKeyTest=0,woman,
345,condition=H&label=S&respKeyExp=1&respKeyTest=1,woman,
148,condition=H&label=S&respKeyExp=1&respKeyTest=1,woman,
264,condition=H&label=S&respKeyExp=1&respKeyTest=1,woman,
279,condition=H&label=S&respKeyExp=1&respKeyTest=1,woman,
150,condition=H&label=S&respKeyExp=1&respKeyTest=1,woman,
385,condition=H&label=S&respKeyExp=1&respKeyTest=1,woman,
84,condition=H&label=S&respKeyExp=1&respKeyTest=1,woman,
71,condition=H&label=S&respKeyExp=1&respKeyTest=1,woman,
135,condition=H&label=S&respKeyExp=1&respKeyTest=1,woman,
140,condition=H&label=S&respKeyExp=1&respKeyTest=1,woman,
143,condition=H&label=S&respKeyExp=1&respKeyTest=1,woman,
295,condition=H&label=S&respKeyExp=1&respKeyTest=1,woman,
435,condition=H&label=S&respKeyExp=1&respKeyTest=1,woman,
368,condition=H&label=S&respKeyExp=1&respKeyTest=1,woman,
96,condition=H&label=S&respKeyExp=1&respKeyTest=1,woman,
426,condition=H&label=S&respKeyExp=1&respKeyTest=1,woman,
448,condition=H&label=S&respKeyExp=1&respKeyTest=0,woman,
294,condition=H&label=S&respKeyExp=1&respKeyTest=0,woman,
366,condition=H&label=S&respKeyExp=1&respKeyTest=0,woman,
278,condition=H&label=S&respKeyExp=1&respKeyTest=0,woman,
70,condition=H&label=S&respKeyExp=1&respKeyTest=0,woman,
126,condition=H&label=S&respKeyExp=1&respKeyTest=0,woman,
357,condition=H&label=S&respKeyExp=1&respKeyTest=0,woman,
127,condition=H&label=S&respKeyExp=1&respKeyTest=0,woman,
121,condition=H&label=S&respKeyExp=1&respKeyTest=0,woman,
134,condition=H&label=S&respKeyExp=1&respKeyTest=0,woman,
108,condition=H&label=S&respKeyExp=1&respKeyTest=0,woman,
138,condition=H&label=S&respKeyExp=1&respKeyTest=0,woman,
115,condition=H&label=S&respKeyExp=1&respKeyTest=0,woman,
403,condition=H&label=S&respKeyExp=1&respKeyTest=0,woman,
424,condition=H&label=S&respKeyExp=1&respKeyTest=0,woman,
119,condition=H&label=S&respKeyExp=1&respKeyTest=0,woman,
308,condition=M&label=S&respKeyExp=1&respKeyTest=0,woman,
163,condition=M&label=S&respKeyExp=1&respKeyTest=0,woman,
402,condition=M&label=S&respKeyExp=1&respKeyTest=0,woman,
391,condition=M&label=S&respKeyExp=1&respKeyTest=0,woman,
293,condition=M&label=S&respKeyExp=1&respKeyTest=0,woman,
335,condition=M&label=S&respKeyExp=1&respKeyTest=0,woman,
226,condition=M&label=S&respKeyExp=1&respKeyTest=0,woman,
199,condition=M&label=S&respKeyExp=1&respKeyTest=0,woman,
160,condition=M&label=S&respKeyExp=1&respKeyTest=0,woman,
319,condition=M&label=S&respKeyExp=1&respKeyTest=0,woman,
315,condition=M&label=S&respKeyExp=1&respKeyTest=0,woman,
384,condition=M&label=S&respKeyExp=1&respKeyTest=0,woman,
211,condition=M&label=S&respKeyExp=1&respKeyTest=0,woman,
222,condition=M&label=S&respKeyExp=1&respKeyTest=0,woman,
193,condition=M&label=S&respKeyExp=1&respKeyTest=0,woman,
328,condition=H&label=SH&respKeyExp=1&respKeyTest=0,woman,
457,condition=H&label=SH&respKeyExp=1&respKeyTest=0,woman,
90,condition=H&label=SH&respKeyExp=1&respKeyTest=0,woman,
86,condition=H&label=SH&respKeyExp=1&respKeyTest=0,woman,
364,condition=H&label=SH&respKeyExp=1&respKeyTest=0,woman,
142,condition=H&label=SH&respKeyExp=1&respKeyTest=0,woman,
157,condition=H&label=SH&respKeyExp=1&respKeyTest=0,woman,
98,condition=H&label=SH&respKeyExp=1&respKeyTest=0,woman,
137,condition=H&label=SH&respKeyExp=1&respKeyTest=0,woman,
344,condition=H&label=SH&respKeyExp=1&respKeyTest=0,woman,
276,condition=H&label=SH&respKeyExp=1&respKeyTest=0,woman,
400,condition=H&label=SH&respKeyExp=1&respKeyTest=0,woman,
149,condition=H&label=SH&respKeyExp=1&respKeyTest=0,woman,
103,condition=H&label=SH&respKeyExp=1&respKeyTest=0,woman,
74,condition=H&label=SH&respKeyExp=1&respKeyTest=0,woman,
459,condition=H&label=SH&respKeyExp=1&respKeyTest=0,woman,
204,condition=M&label=S&respKeyExp=0&respKeyTest=0,woman,
363,condition=M&label=S&respKeyExp=0&respKeyTest=0,woman,
379,condition=M&label=S&respKeyExp=0&respKeyTest=0,woman,
221,condition=M&label=S&respKeyExp=0&respKeyTest=0,woman,
166,condition=M&label=S&respKeyExp=0&respKeyTest=0,woman,
291,condition=M&label=S&respKeyExp=0&respKeyTest=0,woman,
275,condition=M&label=S&respKeyExp=0&respKeyTest=0,woman,
443,condition=M&label=S&respKeyExp=0&respKeyTest=0,woman,
231,condition=M&label=S&respKeyExp=0&respKeyTest=0,woman,
262,condition=M&label=S&respKeyExp=0&respKeyTest=0,woman,
198,condition=M&label=S&respKeyExp=0&respKeyTest=0,woman,
202,condition=M&label=S&respKeyExp=0&respKeyTest=0,woman,
172,condition=M&label=S&respKeyExp=0&respKeyTest=0,woman,
232,condition=M&label=S&respKeyExp=0&respKeyTest=0,woman,
399,condition=M&label=S&respKeyExp=0&respKeyTest=0,woman,
383,condition=H&label=S&respKeyExp=0&respKeyTest=1,woman,
306,condition=H&label=S&respKeyExp=0&respKeyTest=1,woman,
73,condition=H&label=S&respKeyExp=0&respKeyTest=1,woman,
454,condition=H&label=S&respKeyExp=0&respKeyTest=1,woman,
421,condition=H&label=S&respKeyExp=0&respKeyTest=1,woman,
118,condition=H&label=S&respKeyExp=0&respKeyTest=1,woman,
89,condition=H&label=S&respKeyExp=0&respKeyTest=1,woman,
342,condition=H&label=S&respKeyExp=0&respKeyTest=1,woman,
290,condition=H&label=S&respKeyExp=0&respKeyTest=1,woman,
274,condition=H&label=S&respKeyExp=0&respKeyTest=1,woman,
