workerid,proliferate.condition,social1,error
386,condition=H&label=SH&respKeyExp=0&respKeyTest=1,more than 10,
461,condition=H&label=SH&respKeyExp=0&respKeyTest=1,never,
282,condition=H&label=SH&respKeyExp=0&respKeyTest=1,more than 10,
313,condition=H&label=SH&respKeyExp=0&respKeyTest=1,never,
153,condition=H&label=SH&respKeyExp=0&respKeyTest=1,never,
104,condition=H&label=SH&respKeyExp=0&respKeyTest=1,never,
78,condition=H&label=SH&respKeyExp=0&respKeyTest=1,never,
254,condition=H&label=SH&respKeyExp=0&respKeyTest=1,never,
93,condition=H&label=SH&respKeyExp=0&respKeyTest=1,never,
464,condition=H&label=SH&respKeyExp=0&respKeyTest=1,never,
267,condition=H&label=SH&respKeyExp=0&respKeyTest=1,never,
298,condition=H&label=SH&respKeyExp=0&respKeyTest=1,never,
88,condition=H&label=SH&respKeyExp=0&respKeyTest=1,never,
144,condition=H&label=SH&respKeyExp=0&respKeyTest=1,never,
117,condition=H&label=SH&respKeyExp=0&respKeyTest=1,more than 10,
311,condition=H&label=SH&respKeyExp=0&respKeyTest=1,never,
393,condition=H&label=SH&respKeyExp=0&respKeyTest=1,more than 1,
79,condition=H&label=SH&respKeyExp=1&respKeyTest=1,never,
309,condition=H&label=SH&respKeyExp=1&respKeyTest=1,never,
281,condition=H&label=SH&respKeyExp=1&respKeyTest=1,never,
255,condition=H&label=SH&respKeyExp=1&respKeyTest=1,never,
116,condition=H&label=SH&respKeyExp=1&respKeyTest=1,never,
112,condition=H&label=SH&respKeyExp=1&respKeyTest=1,never,
105,condition=H&label=SH&respKeyExp=1&respKeyTest=1,never,
452,condition=H&label=SH&respKeyExp=1&respKeyTest=1,never,
249,condition=H&label=SH&respKeyExp=1&respKeyTest=1,never,
406,condition=H&label=SH&respKeyExp=1&respKeyTest=1,never,
297,condition=H&label=SH&respKeyExp=1&respKeyTest=1,never,
156,condition=H&label=SH&respKeyExp=1&respKeyTest=1,never,
124,condition=H&label=SH&respKeyExp=1&respKeyTest=1,never,
312,condition=H&label=SH&respKeyExp=1&respKeyTest=1,never,
392,condition=H&label=SH&respKeyExp=1&respKeyTest=1,never,
81,condition=H&label=SH&respKeyExp=1&respKeyTest=1,never,
280,condition=M&label=SH&respKeyExp=1&respKeyTest=0,never,
220,condition=M&label=SH&respKeyExp=1&respKeyTest=0,more than 10,
444,condition=M&label=SH&respKeyExp=1&respKeyTest=0,never,
242,condition=M&label=SH&respKeyExp=1&respKeyTest=0,never,
180,condition=M&label=SH&respKeyExp=1&respKeyTest=0,more than 1,
200,condition=M&label=SH&respKeyExp=1&respKeyTest=0,never,
173,condition=M&label=SH&respKeyExp=1&respKeyTest=0,more than 10,
351,condition=M&label=SH&respKeyExp=1&respKeyTest=0,never,
253,condition=M&label=SH&respKeyExp=1&respKeyTest=0,never,
