workerid,proliferate.condition,speaker,error
386,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"I did not like that she had a pen in her mouth half of the time. It made it very difficult to distinguish what she was saying, and it was a bit annoying. She also had odd annunciations for some of her vowel sounds. ",
461,condition=H&label=SH&respKeyExp=0&respKeyTest=1,She seemed to say other words.,
282,condition=H&label=SH&respKeyExp=0&respKeyTest=1,she kept putting a pen in and out of her mouth through both videos,
313,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"the audio seemed to be dubbed, whether it was just rerecorded or a different speaker, the audio was not the original recording.",
153,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"they seemed bored mostly, though it was probably an affectation that they used to mask their recognization of some words",
104,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"She loves to chew on pens, which may mess with how she's saying words.",
78,condition=H&label=SH&respKeyExp=0&respKeyTest=1,,
254,condition=H&label=SH&respKeyExp=0&respKeyTest=1,no,
93,condition=H&label=SH&respKeyExp=0&respKeyTest=1,no,
464,condition=H&label=SH&respKeyExp=0&respKeyTest=1,She seemed casual and calm. She was always playing and chewing on her pen.,
267,condition=H&label=SH&respKeyExp=0&respKeyTest=1,No. ,
298,condition=H&label=SH&respKeyExp=0&respKeyTest=1,Nothing in particular.,
88,condition=H&label=SH&respKeyExp=0&respKeyTest=1,No.,
144,condition=H&label=SH&respKeyExp=0&respKeyTest=1,Nothing odd,
117,condition=H&label=SH&respKeyExp=0&respKeyTest=1,She kept chewing on a pen.,
311,condition=H&label=SH&respKeyExp=0&respKeyTest=1,I noticed sometimes she had a pen to her lips and sometimes she did not,
393,condition=H&label=SH&respKeyExp=0&respKeyTest=1,She had a pen sometimes in her mouth,
79,condition=H&label=SH&respKeyExp=1&respKeyTest=1,the pen in the mouth ,
309,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"No, I did not, besides the toothbrush positioning",
281,condition=H&label=SH&respKeyExp=1&respKeyTest=1,no,
255,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"No, I thought that the person seemed normal.",
116,condition=H&label=SH&respKeyExp=1&respKeyTest=1,having a pen in her mouth sometimes,
112,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"It was odd that the speaker often had a pen in her mouth when she was speaking. I could hear ""ashi"" when I could see her mouth moving (without the pen in the way) but I hear ""asi"" when I couldn't see her mouth. Weird. ",
105,condition=H&label=SH&respKeyExp=1&respKeyTest=1,Sometimes her mouth didn't line up with the word that was coming out,
452,condition=H&label=SH&respKeyExp=1&respKeyTest=1,No,
249,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"She was fiddling a lot with the pen, did not appear to be reading the words.",
406,condition=H&label=SH&respKeyExp=1&respKeyTest=1,nonw,
297,condition=H&label=SH&respKeyExp=1&respKeyTest=1,no,
156,condition=H&label=SH&respKeyExp=1&respKeyTest=1,Sometimes they had the pen in their mouth and sometimes not.,
124,condition=H&label=SH&respKeyExp=1&respKeyTest=1,Her twirling around the pen.,
312,condition=H&label=SH&respKeyExp=1&respKeyTest=1,She had pretty exaggerated movements which may have been intended to influence our perception of the sound.,
392,condition=H&label=SH&respKeyExp=1&respKeyTest=1,she had a pen in her mouth often. ,
81,condition=H&label=SH&respKeyExp=1&respKeyTest=1,,
