workerid,proliferate.condition,testSet,error
386,condition=H&label=SH&respKeyExp=0&respKeyTest=1,C,
461,condition=H&label=SH&respKeyExp=0&respKeyTest=1,C,
282,condition=H&label=SH&respKeyExp=0&respKeyTest=1,C,
313,condition=H&label=SH&respKeyExp=0&respKeyTest=1,C,
153,condition=H&label=SH&respKeyExp=0&respKeyTest=1,C,
104,condition=H&label=SH&respKeyExp=0&respKeyTest=1,C,
78,condition=H&label=SH&respKeyExp=0&respKeyTest=1,C,
254,condition=H&label=SH&respKeyExp=0&respKeyTest=1,C,
93,condition=H&label=SH&respKeyExp=0&respKeyTest=1,C,
464,condition=H&label=SH&respKeyExp=0&respKeyTest=1,C,
267,condition=H&label=SH&respKeyExp=0&respKeyTest=1,C,
298,condition=H&label=SH&respKeyExp=0&respKeyTest=1,C,
88,condition=H&label=SH&respKeyExp=0&respKeyTest=1,C,
144,condition=H&label=SH&respKeyExp=0&respKeyTest=1,C,
117,condition=H&label=SH&respKeyExp=0&respKeyTest=1,C,
311,condition=H&label=SH&respKeyExp=0&respKeyTest=1,C,
393,condition=H&label=SH&respKeyExp=0&respKeyTest=1,C,
79,condition=H&label=SH&respKeyExp=1&respKeyTest=1,C,
309,condition=H&label=SH&respKeyExp=1&respKeyTest=1,C,
281,condition=H&label=SH&respKeyExp=1&respKeyTest=1,C,
255,condition=H&label=SH&respKeyExp=1&respKeyTest=1,C,
116,condition=H&label=SH&respKeyExp=1&respKeyTest=1,C,
112,condition=H&label=SH&respKeyExp=1&respKeyTest=1,C,
105,condition=H&label=SH&respKeyExp=1&respKeyTest=1,C,
452,condition=H&label=SH&respKeyExp=1&respKeyTest=1,C,
249,condition=H&label=SH&respKeyExp=1&respKeyTest=1,C,
406,condition=H&label=SH&respKeyExp=1&respKeyTest=1,C,
297,condition=H&label=SH&respKeyExp=1&respKeyTest=1,C,
156,condition=H&label=SH&respKeyExp=1&respKeyTest=1,C,
124,condition=H&label=SH&respKeyExp=1&respKeyTest=1,C,
312,condition=H&label=SH&respKeyExp=1&respKeyTest=1,C,
392,condition=H&label=SH&respKeyExp=1&respKeyTest=1,C,
81,condition=H&label=SH&respKeyExp=1&respKeyTest=1,C,
280,condition=M&label=SH&respKeyExp=1&respKeyTest=0,C,
220,condition=M&label=SH&respKeyExp=1&respKeyTest=0,C,
444,condition=M&label=SH&respKeyExp=1&respKeyTest=0,C,
242,condition=M&label=SH&respKeyExp=1&respKeyTest=0,C,
180,condition=M&label=SH&respKeyExp=1&respKeyTest=0,C,
200,condition=M&label=SH&respKeyExp=1&respKeyTest=0,C,
173,condition=M&label=SH&respKeyExp=1&respKeyTest=0,C,
351,condition=M&label=SH&respKeyExp=1&respKeyTest=0,C,
253,condition=M&label=SH&respKeyExp=1&respKeyTest=0,C,
162,condition=M&label=SH&respKeyExp=1&respKeyTest=0,C,
265,condition=M&label=SH&respKeyExp=1&respKeyTest=0,C,
331,condition=M&label=SH&respKeyExp=1&respKeyTest=0,C,
243,condition=M&label=SH&respKeyExp=1&respKeyTest=0,C,
326,condition=M&label=SH&respKeyExp=1&respKeyTest=0,C,
450,condition=M&label=SH&respKeyExp=1&respKeyTest=0,C,
370,condition=M&label=SH&respKeyExp=1&respKeyTest=0,C,
345,condition=H&label=S&respKeyExp=1&respKeyTest=1,C,
148,condition=H&label=S&respKeyExp=1&respKeyTest=1,C,
264,condition=H&label=S&respKeyExp=1&respKeyTest=1,C,
279,condition=H&label=S&respKeyExp=1&respKeyTest=1,C,
150,condition=H&label=S&respKeyExp=1&respKeyTest=1,C,
385,condition=H&label=S&respKeyExp=1&respKeyTest=1,C,
84,condition=H&label=S&respKeyExp=1&respKeyTest=1,C,
71,condition=H&label=S&respKeyExp=1&respKeyTest=1,C,
135,condition=H&label=S&respKeyExp=1&respKeyTest=1,C,
140,condition=H&label=S&respKeyExp=1&respKeyTest=1,C,
143,condition=H&label=S&respKeyExp=1&respKeyTest=1,C,
295,condition=H&label=S&respKeyExp=1&respKeyTest=1,C,
435,condition=H&label=S&respKeyExp=1&respKeyTest=1,C,
368,condition=H&label=S&respKeyExp=1&respKeyTest=1,C,
