workerid,proliferate.condition,us.timezone,error
386,condition=H&label=SH&respKeyExp=0&respKeyTest=1,EDT,
461,condition=H&label=SH&respKeyExp=0&respKeyTest=1,EDT,
282,condition=H&label=SH&respKeyExp=0&respKeyTest=1,EDT,
313,condition=H&label=SH&respKeyExp=0&respKeyTest=1,EDT,
153,condition=H&label=SH&respKeyExp=0&respKeyTest=1,CDT,
104,condition=H&label=SH&respKeyExp=0&respKeyTest=1,CDT,
78,condition=H&label=SH&respKeyExp=0&respKeyTest=1,CDT,
254,condition=H&label=SH&respKeyExp=0&respKeyTest=1,CDT,
93,condition=H&label=SH&respKeyExp=0&respKeyTest=1,CDT,
464,condition=H&label=SH&respKeyExp=0&respKeyTest=1,CDT,
267,condition=H&label=SH&respKeyExp=0&respKeyTest=1,EDT,
298,condition=H&label=SH&respKeyExp=0&respKeyTest=1,EDT,
88,condition=H&label=SH&respKeyExp=0&respKeyTest=1,EDT,
144,condition=H&label=SH&respKeyExp=0&respKeyTest=1,CDT,
117,condition=H&label=SH&respKeyExp=0&respKeyTest=1,EDT,
311,condition=H&label=SH&respKeyExp=0&respKeyTest=1,EDT,
393,condition=H&label=SH&respKeyExp=0&respKeyTest=1,EDT,
79,condition=H&label=SH&respKeyExp=1&respKeyTest=1,EDT,
309,condition=H&label=SH&respKeyExp=1&respKeyTest=1,EDT,
281,condition=H&label=SH&respKeyExp=1&respKeyTest=1,EDT,
255,condition=H&label=SH&respKeyExp=1&respKeyTest=1,CDT,
116,condition=H&label=SH&respKeyExp=1&respKeyTest=1,PDT,
112,condition=H&label=SH&respKeyExp=1&respKeyTest=1,EDT,
105,condition=H&label=SH&respKeyExp=1&respKeyTest=1,EDT,
452,condition=H&label=SH&respKeyExp=1&respKeyTest=1,EDT,
249,condition=H&label=SH&respKeyExp=1&respKeyTest=1,MDT,
406,condition=H&label=SH&respKeyExp=1&respKeyTest=1,CDT,
297,condition=H&label=SH&respKeyExp=1&respKeyTest=1,EDT,
156,condition=H&label=SH&respKeyExp=1&respKeyTest=1,EDT,
124,condition=H&label=SH&respKeyExp=1&respKeyTest=1,MST,
312,condition=H&label=SH&respKeyExp=1&respKeyTest=1,EDT,
392,condition=H&label=SH&respKeyExp=1&respKeyTest=1,PDT,
81,condition=H&label=SH&respKeyExp=1&respKeyTest=1,CDT,
280,condition=M&label=SH&respKeyExp=1&respKeyTest=0,EDT,
220,condition=M&label=SH&respKeyExp=1&respKeyTest=0,EDT,
