workerid,proliferate.condition,userDateTime,error
386,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"Fri, 06 May 2022 04:14:42 GMT",
461,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"Fri, 06 May 2022 17:58:27 GMT",
282,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"Thu, 05 May 2022 23:55:30 GMT",
313,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"Fri, 06 May 2022 00:13:03 GMT",
153,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"Fri, 29 Apr 2022 01:04:35 GMT",
104,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"Thu, 28 Apr 2022 23:54:36 GMT",
78,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"Thu, 07 Apr 2022 21:30:31 GMT",
254,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"Thu, 05 May 2022 23:55:05 GMT",
93,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"Thu, 28 Apr 2022 23:47:01 GMT",
464,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"Fri, 06 May 2022 17:50:07 GMT",
267,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"Fri, 06 May 2022 00:15:10 GMT",
298,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"Thu, 05 May 2022 23:53:06 GMT",
88,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"Thu, 28 Apr 2022 23:29:12 GMT",
144,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"Fri, 29 Apr 2022 00:41:22 GMT",
117,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"Fri, 29 Apr 2022 00:11:31 GMT",
311,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"Fri, 06 May 2022 00:17:23 GMT",
393,condition=H&label=SH&respKeyExp=0&respKeyTest=1,"Fri, 06 May 2022 04:36:13 GMT",
79,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"Thu, 28 Apr 2022 21:07:28 GMT",
309,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"Fri, 06 May 2022 00:04:19 GMT",
281,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"Thu, 05 May 2022 23:54:10 GMT",
255,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"Fri, 06 May 2022 00:05:15 GMT",
116,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"Fri, 29 Apr 2022 00:10:38 GMT",
112,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"Fri, 29 Apr 2022 00:07:05 GMT",
105,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"Thu, 28 Apr 2022 23:58:55 GMT",
452,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"Fri, 06 May 2022 16:17:54 GMT",
249,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"Thu, 05 May 2022 23:58:25 GMT",
406,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"Fri, 06 May 2022 04:42:29 GMT",
297,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"Thu, 05 May 2022 23:52:33 GMT",
156,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"Fri, 29 Apr 2022 00:57:29 GMT",
124,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"Fri, 29 Apr 2022 00:16:59 GMT",
312,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"Fri, 06 May 2022 00:08:41 GMT",
392,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"Fri, 06 May 2022 04:26:12 GMT",
81,condition=H&label=SH&respKeyExp=1&respKeyTest=1,"Thu, 28 Apr 2022 22:24:36 GMT",
280,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"Thu, 05 May 2022 23:58:03 GMT",
220,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"Thu, 05 May 2022 20:55:56 GMT",
444,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"Fri, 06 May 2022 09:44:07 GMT",
242,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"Thu, 05 May 2022 21:25:49 GMT",
180,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"Thu, 05 May 2022 20:09:01 GMT",
200,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"Thu, 05 May 2022 20:47:03 GMT",
173,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"Thu, 05 May 2022 19:54:51 GMT",
351,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"Fri, 06 May 2022 03:34:03 GMT",
253,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"Thu, 05 May 2022 23:55:08 GMT",
162,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"Thu, 05 May 2022 19:07:27 GMT",
265,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"Thu, 05 May 2022 23:55:39 GMT",
331,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"Fri, 06 May 2022 02:11:20 GMT",
243,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"Thu, 05 May 2022 21:23:42 GMT",
326,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"Fri, 06 May 2022 01:34:42 GMT",
450,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"Fri, 06 May 2022 16:11:42 GMT",
370,condition=M&label=SH&respKeyExp=1&respKeyTest=0,"Fri, 06 May 2022 03:50:14 GMT",
345,condition=H&label=S&respKeyExp=1&respKeyTest=1,"Fri, 06 May 2022 03:16:01 GMT",
148,condition=H&label=S&respKeyExp=1&respKeyTest=1,"Fri, 29 Apr 2022 00:47:15 GMT",
264,condition=H&label=S&respKeyExp=1&respKeyTest=1,"Thu, 05 May 2022 23:52:01 GMT",
279,condition=H&label=S&respKeyExp=1&respKeyTest=1,"Thu, 05 May 2022 23:56:37 GMT",
150,condition=H&label=S&respKeyExp=1&respKeyTest=1,"Fri, 29 Apr 2022 00:55:36 GMT",
385,condition=H&label=S&respKeyExp=1&respKeyTest=1,"Fri, 06 May 2022 04:10:43 GMT",
84,condition=H&label=S&respKeyExp=1&respKeyTest=1,"Thu, 28 Apr 2022 23:13:15 GMT",
71,condition=H&label=S&respKeyExp=1&respKeyTest=1,"Thu, 07 Apr 2022 20:21:19 GMT",
135,condition=H&label=S&respKeyExp=1&respKeyTest=1,"Fri, 29 Apr 2022 00:31:12 GMT",
140,condition=H&label=S&respKeyExp=1&respKeyTest=1,"Fri, 29 Apr 2022 00:43:35 GMT",
143,condition=H&label=S&respKeyExp=1&respKeyTest=1,"Fri, 29 Apr 2022 00:45:42 GMT",
295,condition=H&label=S&respKeyExp=1&respKeyTest=1,"Thu, 05 May 2022 23:56:29 GMT",
435,condition=H&label=S&respKeyExp=1&respKeyTest=1,"Fri, 06 May 2022 06:46:10 GMT",
368,condition=H&label=S&respKeyExp=1&respKeyTest=1,"Fri, 06 May 2022 03:52:26 GMT",
96,condition=H&label=S&respKeyExp=1&respKeyTest=1,"Thu, 28 Apr 2022 23:45:34 GMT",
426,condition=H&label=S&respKeyExp=1&respKeyTest=1,"Fri, 06 May 2022 06:09:01 GMT",
448,condition=H&label=S&respKeyExp=1&respKeyTest=0,"Fri, 06 May 2022 16:19:14 GMT",
294,condition=H&label=S&respKeyExp=1&respKeyTest=0,"Thu, 05 May 2022 23:52:25 GMT",
366,condition=H&label=S&respKeyExp=1&respKeyTest=0,"Fri, 06 May 2022 03:45:37 GMT",
278,condition=H&label=S&respKeyExp=1&respKeyTest=0,"Thu, 05 May 2022 23:51:49 GMT",
70,condition=H&label=S&respKeyExp=1&respKeyTest=0,"Thu, 07 Apr 2022 20:25:11 GMT",
126,condition=H&label=S&respKeyExp=1&respKeyTest=0,"Fri, 29 Apr 2022 00:17:19 GMT",
357,condition=H&label=S&respKeyExp=1&respKeyTest=0,"Fri, 06 May 2022 03:36:44 GMT",
127,condition=H&label=S&respKeyExp=1&respKeyTest=0,"Fri, 29 Apr 2022 00:20:52 GMT",
121,condition=H&label=S&respKeyExp=1&respKeyTest=0,"Fri, 29 Apr 2022 00:17:18 GMT",
134,condition=H&label=S&respKeyExp=1&respKeyTest=0,"Fri, 29 Apr 2022 00:20:50 GMT",
108,condition=H&label=S&respKeyExp=1&respKeyTest=0,"Fri, 29 Apr 2022 00:06:30 GMT",
138,condition=H&label=S&respKeyExp=1&respKeyTest=0,"Fri, 29 Apr 2022 00:33:02 GMT",
115,condition=H&label=S&respKeyExp=1&respKeyTest=0,"Fri, 29 Apr 2022 00:13:35 GMT",
403,condition=H&label=S&respKeyExp=1&respKeyTest=0,"Fri, 06 May 2022 04:33:19 GMT",
424,condition=H&label=S&respKeyExp=1&respKeyTest=0,"Fri, 06 May 2022 06:14:21 GMT",
119,condition=H&label=S&respKeyExp=1&respKeyTest=0,"Fri, 29 Apr 2022 00:16:25 GMT",
308,condition=M&label=S&respKeyExp=1&respKeyTest=0,"Fri, 06 May 2022 00:13:34 GMT",
163,condition=M&label=S&respKeyExp=1&respKeyTest=0,"Thu, 05 May 2022 19:25:30 GMT",
402,condition=M&label=S&respKeyExp=1&respKeyTest=0,"Fri, 06 May 2022 04:33:52 GMT",
391,condition=M&label=S&respKeyExp=1&respKeyTest=0,"Fri, 06 May 2022 04:29:52 GMT",
293,condition=M&label=S&respKeyExp=1&respKeyTest=0,"Thu, 05 May 2022 23:57:22 GMT",
335,condition=M&label=S&respKeyExp=1&respKeyTest=0,"Fri, 06 May 2022 02:41:09 GMT",
226,condition=M&label=S&respKeyExp=1&respKeyTest=0,"Thu, 05 May 2022 21:03:18 GMT",
199,condition=M&label=S&respKeyExp=1&respKeyTest=0,"Thu, 05 May 2022 20:41:16 GMT",
