workerid,proliferate.condition,userDateTimeOffset,error
386,condition=H&label=SH&respKeyExp=0&respKeyTest=1,240,
461,condition=H&label=SH&respKeyExp=0&respKeyTest=1,240,
282,condition=H&label=SH&respKeyExp=0&respKeyTest=1,240,
313,condition=H&label=SH&respKeyExp=0&respKeyTest=1,240,
153,condition=H&label=SH&respKeyExp=0&respKeyTest=1,300,
104,condition=H&label=SH&respKeyExp=0&respKeyTest=1,300,
78,condition=H&label=SH&respKeyExp=0&respKeyTest=1,300,
254,condition=H&label=SH&respKeyExp=0&respKeyTest=1,300,
93,condition=H&label=SH&respKeyExp=0&respKeyTest=1,300,
464,condition=H&label=SH&respKeyExp=0&respKeyTest=1,300,
267,condition=H&label=SH&respKeyExp=0&respKeyTest=1,240,
298,condition=H&label=SH&respKeyExp=0&respKeyTest=1,240,
88,condition=H&label=SH&respKeyExp=0&respKeyTest=1,240,
144,condition=H&label=SH&respKeyExp=0&respKeyTest=1,300,
117,condition=H&label=SH&respKeyExp=0&respKeyTest=1,240,
311,condition=H&label=SH&respKeyExp=0&respKeyTest=1,240,
393,condition=H&label=SH&respKeyExp=0&respKeyTest=1,240,
79,condition=H&label=SH&respKeyExp=1&respKeyTest=1,240,
309,condition=H&label=SH&respKeyExp=1&respKeyTest=1,240,
281,condition=H&label=SH&respKeyExp=1&respKeyTest=1,240,
255,condition=H&label=SH&respKeyExp=1&respKeyTest=1,300,
116,condition=H&label=SH&respKeyExp=1&respKeyTest=1,420,
112,condition=H&label=SH&respKeyExp=1&respKeyTest=1,240,
105,condition=H&label=SH&respKeyExp=1&respKeyTest=1,240,
452,condition=H&label=SH&respKeyExp=1&respKeyTest=1,240,
249,condition=H&label=SH&respKeyExp=1&respKeyTest=1,360,
406,condition=H&label=SH&respKeyExp=1&respKeyTest=1,300,
297,condition=H&label=SH&respKeyExp=1&respKeyTest=1,240,
156,condition=H&label=SH&respKeyExp=1&respKeyTest=1,240,
124,condition=H&label=SH&respKeyExp=1&respKeyTest=1,420,
312,condition=H&label=SH&respKeyExp=1&respKeyTest=1,240,
392,condition=H&label=SH&respKeyExp=1&respKeyTest=1,420,
81,condition=H&label=SH&respKeyExp=1&respKeyTest=1,300,
280,condition=M&label=SH&respKeyExp=1&respKeyTest=0,240,
220,condition=M&label=SH&respKeyExp=1&respKeyTest=0,240,
444,condition=M&label=SH&respKeyExp=1&respKeyTest=0,240,
242,condition=M&label=SH&respKeyExp=1&respKeyTest=0,240,
180,condition=M&label=SH&respKeyExp=1&respKeyTest=0,360,
200,condition=M&label=SH&respKeyExp=1&respKeyTest=0,300,
173,condition=M&label=SH&respKeyExp=1&respKeyTest=0,360,
351,condition=M&label=SH&respKeyExp=1&respKeyTest=0,300,
253,condition=M&label=SH&respKeyExp=1&respKeyTest=0,420,
162,condition=M&label=SH&respKeyExp=1&respKeyTest=0,240,
265,condition=M&label=SH&respKeyExp=1&respKeyTest=0,240,
331,condition=M&label=SH&respKeyExp=1&respKeyTest=0,240,
243,condition=M&label=SH&respKeyExp=1&respKeyTest=0,240,
326,condition=M&label=SH&respKeyExp=1&respKeyTest=0,360,
450,condition=M&label=SH&respKeyExp=1&respKeyTest=0,240,
370,condition=M&label=SH&respKeyExp=1&respKeyTest=0,240,
345,condition=H&label=S&respKeyExp=1&respKeyTest=1,300,
148,condition=H&label=S&respKeyExp=1&respKeyTest=1,240,
264,condition=H&label=S&respKeyExp=1&respKeyTest=1,240,
279,condition=H&label=S&respKeyExp=1&respKeyTest=1,240,
150,condition=H&label=S&respKeyExp=1&respKeyTest=1,300,
385,condition=H&label=S&respKeyExp=1&respKeyTest=1,240,
84,condition=H&label=S&respKeyExp=1&respKeyTest=1,240,
71,condition=H&label=S&respKeyExp=1&respKeyTest=1,420,
135,condition=H&label=S&respKeyExp=1&respKeyTest=1,420,
140,condition=H&label=S&respKeyExp=1&respKeyTest=1,240,
143,condition=H&label=S&respKeyExp=1&respKeyTest=1,600,
295,condition=H&label=S&respKeyExp=1&respKeyTest=1,240,
435,condition=H&label=S&respKeyExp=1&respKeyTest=1,420,
